,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.011748000004445203,18.0,0.0,2000,0.4,4096
1,1,0.3980027999932645,29.0,2.0,2000,0.4,4096
2,2,0.8127275000006193,31.0,4.0,2000,0.4,4096
3,3,1.228771299996879,31.0,5.0,2000,0.4,4096
4,4,1.5932557999913115,33.0,7.0,2000,0.4,4096
5,5,1.9129267999960575,33.0,8.0,2000,0.4,4096
6,6,2.3094181999913417,35.0,10.0,2000,0.4,4096
7,7,2.6778898000047775,35.0,11.0,2000,0.4,4096
8,8,3.038337899997714,35.0,12.0,2000,0.4,4096
9,9,3.425342799993814,35.0,13.0,2000,0.4,4096
10,10,3.771298999999999,36.0,15.0,2000,0.4,4096
11,11,4.11003989999881,36.0,16.0,2000,0.4,4096
12,12,4.467958199995337,36.0,17.0,2000,0.4,4096
13,13,4.782565200002864,37.0,19.0,2000,0.4,4096
14,14,5.145832599999267,37.0,20.0,2000,0.4,4096
15,15,5.5398099000012735,37.0,21.0,2000,0.4,4096
16,16,5.891995900004986,38.0,23.0,2000,0.4,4096
17,17,6.275365800000145,39.0,25.0,2000,0.4,4096
