,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.04283620000933297,10.0,200.0,200,0.6,4096
1,1,0.10291950000100769,3.0,402.0,200,0.6,4096
2,2,0.15715519999503158,3.0,603.0,200,0.6,4096
3,3,0.20989420000114478,2.0,805.0,200,0.6,4096
4,4,0.2627951000176836,1.0,1007.0,200,0.6,4096
5,5,0.31737710000015795,1.0,1208.0,200,0.6,4096
6,6,0.38271220002206974,1.0,1409.0,200,0.6,4096
7,7,0.46108200002345257,1.0,1610.0,200,0.6,4096
8,8,0.5249823000049219,1.0,1811.0,200,0.6,4096
9,9,0.5954091000021435,1.0,2012.0,200,0.6,4096
10,10,0.6612597000203095,1.0,2213.0,200,0.6,4096
11,11,0.7148621000233106,1.0,2414.0,200,0.6,4096
12,12,0.7661526000010781,1.0,2615.0,200,0.6,4096
13,13,0.8161925000022165,1.0,2816.0,200,0.6,4096
14,14,0.866675800003577,1.0,3017.0,200,0.6,4096
15,15,0.9175811000168324,1.0,3218.0,200,0.6,4096
16,16,0.9755703000118956,1.0,3419.0,200,0.6,4096
17,17,1.0651010000146925,1.0,3620.0,200,0.6,4096
18,18,1.1883472000190523,0.0,3822.0,200,0.6,4096
