,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.04107710000243969,8.0,500.0,500,0.2,4096
1,1,0.11965819999750238,91.0,1002.0,500,0.2,4096
2,2,0.18737980000150856,91.0,1503.0,500,0.2,4096
3,3,0.2634214999998221,92.0,2005.0,500,0.2,4096
4,4,0.34160300000803545,95.0,2507.0,500,0.2,4096
5,5,0.41474140000354964,96.0,3009.0,500,0.2,4096
6,6,0.4994736000080593,97.0,3511.0,500,0.2,4096
7,7,0.574423600002774,99.0,4013.0,500,0.2,4096
8,8,0.6440673000033712,104.0,4515.0,500,0.2,4096
9,9,0.7147499999991851,104.0,5016.0,500,0.2,4096
10,10,0.7846893000096316,105.0,5518.0,500,0.2,4096
11,11,0.854265400004806,105.0,6019.0,500,0.2,4096
12,12,0.9249022000003606,105.0,6520.0,500,0.2,4096
13,13,1.0036804999981541,105.0,7021.0,500,0.2,4096
14,14,1.092719100008253,105.0,7522.0,500,0.2,4096
15,15,1.2574159000068903,108.0,8024.0,500,0.2,4096
16,16,1.3670936999988044,108.0,8525.0,500,0.2,4096
17,17,1.4513341999991098,109.0,9027.0,500,0.2,4096
18,18,1.5275823999982094,110.0,9529.0,500,0.2,4096
19,19,1.6082464000064647,111.0,10031.0,500,0.2,4096
20,20,1.6781685000023572,112.0,10533.0,500,0.2,4096
21,21,1.7577252000046428,116.0,11035.0,500,0.2,4096
22,22,1.8358693000045605,116.0,11536.0,500,0.2,4096
23,23,1.9047375000081956,120.0,12038.0,500,0.2,4096
24,24,1.9795184999966295,120.0,12539.0,500,0.2,4096
25,25,2.0633411000017077,120.0,13040.0,500,0.2,4096
26,26,2.1315752000082284,120.0,13541.0,500,0.2,4096
27,27,2.2012607000069693,120.0,14042.0,500,0.2,4096
28,28,2.271102400001837,120.0,14543.0,500,0.2,4096
29,29,2.345152000008966,120.0,15044.0,500,0.2,4096
30,30,2.4119770000106655,121.0,15546.0,500,0.2,4096
31,31,2.4832120000064606,123.0,16048.0,500,0.2,4096
32,32,2.5565727000066545,123.0,16549.0,500,0.2,4096
33,33,2.622293400010676,124.0,17051.0,500,0.2,4096
34,34,2.6898094000061974,128.0,17553.0,500,0.2,4096
35,35,2.764947800009395,128.0,18054.0,500,0.2,4096
36,36,2.842910200008191,128.0,18555.0,500,0.2,4096
37,37,2.9384301000100095,128.0,19056.0,500,0.2,4096
38,38,3.011177599997609,130.0,19558.0,500,0.2,4096
39,39,3.092107300006319,130.0,20059.0,500,0.2,4096
40,40,3.174600800004555,130.0,20560.0,500,0.2,4096
41,41,3.245421700004954,130.0,21061.0,500,0.2,4096
42,42,3.315411800009315,130.0,21562.0,500,0.2,4096
43,43,3.387194199996884,130.0,22063.0,500,0.2,4096
44,44,3.456059100004495,131.0,22565.0,500,0.2,4096
45,45,3.526017399999546,131.0,23066.0,500,0.2,4096
46,46,3.6027346000046236,131.0,23567.0,500,0.2,4096
47,47,3.673307200006093,131.0,24068.0,500,0.2,4096
48,48,3.740504300003522,131.0,24569.0,500,0.2,4096
49,49,3.8075688000099035,131.0,25070.0,500,0.2,4096
50,50,3.8892160000104923,132.0,25572.0,500,0.2,4096
51,51,3.963805899998988,132.0,26073.0,500,0.2,4096
52,52,4.033004199998686,132.0,26574.0,500,0.2,4096
53,53,4.107322199997725,132.0,27075.0,500,0.2,4096
54,54,4.19129800000519,132.0,27576.0,500,0.2,4096
55,55,4.266882399999304,133.0,28078.0,500,0.2,4096
56,56,4.338705800008029,133.0,28579.0,500,0.2,4096
57,57,4.408200400008354,133.0,29080.0,500,0.2,4096
58,58,4.484788200003095,133.0,29581.0,500,0.2,4096
59,59,4.553108799998881,133.0,30082.0,500,0.2,4096
60,60,4.623348499997519,133.0,30583.0,500,0.2,4096
61,61,4.697823100010282,133.0,31084.0,500,0.2,4096
62,62,4.766713400007575,133.0,31585.0,500,0.2,4096
63,63,4.835811700002523,133.0,32086.0,500,0.2,4096
64,64,4.915716900010011,133.0,32587.0,500,0.2,4096
65,65,4.991271200007759,133.0,33088.0,500,0.2,4096
66,66,5.061050300006173,133.0,33589.0,500,0.2,4096
67,67,5.135660600004485,133.0,34090.0,500,0.2,4096
68,68,5.21628249999776,133.0,34591.0,500,0.2,4096
69,69,5.287831900001038,133.0,35092.0,500,0.2,4096
70,70,5.359585199999856,133.0,35593.0,500,0.2,4096
71,71,5.4290406000072835,133.0,36094.0,500,0.2,4096
72,72,5.5009665999969,133.0,36595.0,500,0.2,4096
73,73,5.585483500006376,134.0,37097.0,500,0.2,4096
74,74,5.653692100007902,134.0,37598.0,500,0.2,4096
75,75,5.720612200006144,134.0,38099.0,500,0.2,4096
76,76,5.7929672000027495,134.0,38600.0,500,0.2,4096
77,77,5.862389100002474,134.0,39101.0,500,0.2,4096
78,78,5.929649600002449,134.0,39602.0,500,0.2,4096
79,79,5.9969075999979395,134.0,40103.0,500,0.2,4096
80,80,6.078275500010932,134.0,40604.0,500,0.2,4096
81,81,6.157325899999705,134.0,41105.0,500,0.2,4096
82,82,6.230121600005077,134.0,41606.0,500,0.2,4096
83,83,6.304877700007637,134.0,42107.0,500,0.2,4096
84,84,6.381174000009196,134.0,42608.0,500,0.2,4096
85,85,6.465494000003673,134.0,43109.0,500,0.2,4096
86,86,6.536214400010067,134.0,43610.0,500,0.2,4096
87,87,6.609839199998532,134.0,44111.0,500,0.2,4096
88,88,6.6810449000040535,134.0,44612.0,500,0.2,4096
89,89,6.752959899997222,134.0,45113.0,500,0.2,4096
90,90,6.822443700002623,134.0,45614.0,500,0.2,4096
91,91,6.891218700009631,134.0,46115.0,500,0.2,4096
92,92,6.959682500004419,134.0,46616.0,500,0.2,4096
93,93,7.036841499997536,135.0,47118.0,500,0.2,4096
94,94,7.103622000009636,135.0,47619.0,500,0.2,4096
95,95,7.171276599998237,135.0,48120.0,500,0.2,4096
96,96,7.240159799999674,135.0,48621.0,500,0.2,4096
97,97,7.3123939000070095,135.0,49122.0,500,0.2,4096
98,98,7.386735899999621,135.0,49623.0,500,0.2,4096
99,99,7.4619573000090895,135.0,50124.0,500,0.2,4096
100,100,7.530580500009819,135.0,50625.0,500,0.2,4096
101,101,7.597774699999718,135.0,51126.0,500,0.2,4096
102,102,7.665131500005373,135.0,51627.0,500,0.2,4096
103,103,7.738851700007217,135.0,52128.0,500,0.2,4096
104,104,7.806238200006192,135.0,52629.0,500,0.2,4096
105,105,7.875774800006184,135.0,53130.0,500,0.2,4096
106,106,7.945514300008654,135.0,53631.0,500,0.2,4096
107,107,8.018928200006485,135.0,54132.0,500,0.2,4096
108,108,8.106513000006089,135.0,54633.0,500,0.2,4096
109,109,8.174299100006465,135.0,55134.0,500,0.2,4096
110,110,8.24742349999724,135.0,55635.0,500,0.2,4096
111,111,8.312951200001407,136.0,56137.0,500,0.2,4096
112,112,8.379508400001214,136.0,56638.0,500,0.2,4096
113,113,8.449017300008563,136.0,57139.0,500,0.2,4096
114,114,8.517366400003084,136.0,57640.0,500,0.2,4096
115,115,8.586369700002251,136.0,58141.0,500,0.2,4096
116,116,8.66319810001005,136.0,58642.0,500,0.2,4096
117,117,8.730577399997856,136.0,59143.0,500,0.2,4096
118,118,8.798379200001364,136.0,59644.0,500,0.2,4096
119,119,8.867751199999475,136.0,60145.0,500,0.2,4096
120,120,8.942324800009374,136.0,60646.0,500,0.2,4096
121,121,9.024732999998378,136.0,61147.0,500,0.2,4096
122,122,9.0949188000086,136.0,61648.0,500,0.2,4096
123,123,9.166466199996648,136.0,62149.0,500,0.2,4096
124,124,9.234942900002352,137.0,62651.0,500,0.2,4096
125,125,9.31094180000946,137.0,63152.0,500,0.2,4096
126,126,9.376161599997431,137.0,63653.0,500,0.2,4096
127,127,9.441342700010864,137.0,64154.0,500,0.2,4096
128,128,9.51268080000591,137.0,64655.0,500,0.2,4096
129,129,9.579028499996639,137.0,65156.0,500,0.2,4096
130,130,9.644711500004632,137.0,65657.0,500,0.2,4096
131,131,9.7125481999974,137.0,66158.0,500,0.2,4096
132,132,9.785774800009676,137.0,66659.0,500,0.2,4096
133,133,9.852834899997106,137.0,67160.0,500,0.2,4096
134,134,9.91981950000627,137.0,67661.0,500,0.2,4096
135,135,9.996815300008166,137.0,68162.0,500,0.2,4096
136,136,10.064219400010188,137.0,68663.0,500,0.2,4096
137,137,10.131402400002116,137.0,69164.0,500,0.2,4096
138,138,10.198699200002011,137.0,69665.0,500,0.2,4096
139,139,10.266737400001148,138.0,70167.0,500,0.2,4096
140,140,10.336644399998477,138.0,70668.0,500,0.2,4096
141,141,10.406095300000743,138.0,71169.0,500,0.2,4096
142,142,10.481589700008044,138.0,71670.0,500,0.2,4096
143,143,10.552440500003286,138.0,72171.0,500,0.2,4096
144,144,10.621559600011096,138.0,72672.0,500,0.2,4096
145,145,10.692191800000728,138.0,73173.0,500,0.2,4096
146,146,10.768133800011128,138.0,73674.0,500,0.2,4096
147,147,10.838952300007804,138.0,74175.0,500,0.2,4096
148,148,10.909010500006843,138.0,74676.0,500,0.2,4096
