,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.09209569999995892,18.0,500.0,500,0.1,4096
1,1,0.21139429999999493,8.0,1002.0,500,0.1,4096
2,2,0.33006539999996676,8.0,1503.0,500,0.1,4096
3,3,0.4466431999999827,8.0,2004.0,500,0.1,4096
4,4,0.5566862000000015,8.0,2505.0,500,0.1,4096
5,5,0.6719315999999935,8.0,3006.0,500,0.1,4096
6,6,0.7812038000000143,8.0,3507.0,500,0.1,4096
7,7,0.8875875999999607,8.0,4008.0,500,0.1,4096
8,8,0.9939630999999736,7.0,4510.0,500,0.1,4096
9,9,1.1121251000000143,6.0,5012.0,500,0.1,4096
10,10,1.2815241000000128,6.0,5513.0,500,0.1,4096
11,11,1.4425663999999756,6.0,6014.0,500,0.1,4096
12,12,1.5617548999999826,6.0,6515.0,500,0.1,4096
13,13,1.6906885999999872,6.0,7016.0,500,0.1,4096
14,14,1.8034536000000116,6.0,7517.0,500,0.1,4096
15,15,1.9110208999999827,6.0,8018.0,500,0.1,4096
16,16,2.018250299999977,6.0,8519.0,500,0.1,4096
17,17,2.133676699999967,6.0,9020.0,500,0.1,4096
18,18,2.2432392999999706,6.0,9521.0,500,0.1,4096
19,19,2.35782039999998,6.0,10022.0,500,0.1,4096
20,20,2.4756150999999704,6.0,10523.0,500,0.1,4096
21,21,2.5905212999999776,6.0,11024.0,500,0.1,4096
22,22,2.6967180999999982,6.0,11525.0,500,0.1,4096
23,23,2.803878499999996,6.0,12026.0,500,0.1,4096
24,24,2.915513799999985,6.0,12527.0,500,0.1,4096
25,25,3.0248611000000096,6.0,13028.0,500,0.1,4096
26,26,3.132074999999986,6.0,13529.0,500,0.1,4096
27,27,3.2392441999999733,5.0,14031.0,500,0.1,4096
28,28,3.346370400000012,5.0,14532.0,500,0.1,4096
29,29,3.452126499999963,5.0,15033.0,500,0.1,4096
30,30,3.558635699999968,5.0,15534.0,500,0.1,4096
31,31,3.6641475999999784,5.0,16035.0,500,0.1,4096
32,32,3.7712684999999624,5.0,16536.0,500,0.1,4096
33,33,3.8874840999999947,5.0,17037.0,500,0.1,4096
34,34,3.993801299999973,5.0,17538.0,500,0.1,4096
35,35,4.108558099999982,4.0,18040.0,500,0.1,4096
36,36,4.228756299999986,4.0,18541.0,500,0.1,4096
37,37,4.345401699999968,4.0,19042.0,500,0.1,4096
38,38,4.45145789999998,4.0,19543.0,500,0.1,4096
39,39,4.557853599999987,4.0,20044.0,500,0.1,4096
40,40,4.665614099999971,4.0,20545.0,500,0.1,4096
41,41,4.7746740000000045,4.0,21046.0,500,0.1,4096
42,42,4.880820599999993,4.0,21547.0,500,0.1,4096
43,43,4.987425799999983,4.0,22048.0,500,0.1,4096
44,44,5.094053999999971,4.0,22549.0,500,0.1,4096
45,45,5.200970999999981,3.0,23051.0,500,0.1,4096
46,46,5.309189500000002,3.0,23552.0,500,0.1,4096
47,47,5.415479299999959,3.0,24053.0,500,0.1,4096
48,48,5.52154029999997,3.0,24554.0,500,0.1,4096
49,49,5.630206399999963,3.0,25055.0,500,0.1,4096
50,50,5.738221099999976,3.0,25556.0,500,0.1,4096
51,51,5.871659499999964,2.0,26058.0,500,0.1,4096
52,52,6.003296799999987,2.0,26559.0,500,0.1,4096
53,53,6.112823899999967,2.0,27060.0,500,0.1,4096
54,54,6.218724299999963,2.0,27561.0,500,0.1,4096
55,55,6.326594099999966,2.0,28062.0,500,0.1,4096
56,56,6.432520000000011,2.0,28563.0,500,0.1,4096
57,57,6.543989399999987,2.0,29064.0,500,0.1,4096
58,58,6.6684004999999615,2.0,29565.0,500,0.1,4096
59,59,6.776308599999993,2.0,30066.0,500,0.1,4096
60,60,6.882099699999969,2.0,30567.0,500,0.1,4096
61,61,6.98877779999998,2.0,31068.0,500,0.1,4096
62,62,7.094992300000001,2.0,31569.0,500,0.1,4096
63,63,7.201786199999958,2.0,32070.0,500,0.1,4096
64,64,7.309827999999982,2.0,32571.0,500,0.1,4096
65,65,7.425477199999989,2.0,33072.0,500,0.1,4096
66,66,7.531886399999962,1.0,33574.0,500,0.1,4096
67,67,7.637920599999973,1.0,34075.0,500,0.1,4096
68,68,7.744106199999976,1.0,34576.0,500,0.1,4096
69,69,7.859583100000009,1.0,35077.0,500,0.1,4096
70,70,7.966654800000015,1.0,35578.0,500,0.1,4096
71,71,8.071967299999983,1.0,36079.0,500,0.1,4096
72,72,8.17851730000001,1.0,36580.0,500,0.1,4096
73,73,8.285639500000002,1.0,37081.0,500,0.1,4096
74,74,8.392684099999997,0.0,37583.0,500,0.1,4096
75,0,0.09209569999995892,18.0,500.0,500,0.2,4096
76,1,0.21139429999999493,8.0,1002.0,500,0.2,4096
77,2,0.33006539999996676,8.0,1503.0,500,0.2,4096
78,3,0.4466431999999827,7.0,2005.0,500,0.2,4096
79,4,0.5566862000000015,7.0,2506.0,500,0.2,4096
80,5,0.6719315999999935,7.0,3007.0,500,0.2,4096
81,6,0.7812038000000143,7.0,3508.0,500,0.2,4096
82,7,0.8875875999999607,7.0,4009.0,500,0.2,4096
83,8,0.9939630999999736,7.0,4510.0,500,0.2,4096
84,9,1.1121251000000143,7.0,5011.0,500,0.2,4096
85,10,1.2815241000000128,7.0,5512.0,500,0.2,4096
86,11,1.4425663999999756,6.0,6014.0,500,0.2,4096
87,12,1.5617548999999826,6.0,6515.0,500,0.2,4096
88,13,1.6906885999999872,6.0,7016.0,500,0.2,4096
89,14,1.8034536000000116,6.0,7517.0,500,0.2,4096
90,15,1.9110208999999827,6.0,8018.0,500,0.2,4096
91,16,2.018250299999977,6.0,8519.0,500,0.2,4096
92,17,2.133676699999967,6.0,9020.0,500,0.2,4096
93,18,2.2432392999999706,6.0,9521.0,500,0.2,4096
94,19,2.35782039999998,6.0,10022.0,500,0.2,4096
95,20,2.4756150999999704,6.0,10523.0,500,0.2,4096
96,21,2.5905212999999776,6.0,11024.0,500,0.2,4096
97,22,2.6967180999999982,6.0,11525.0,500,0.2,4096
98,23,2.803878499999996,6.0,12026.0,500,0.2,4096
99,24,2.915513799999985,6.0,12527.0,500,0.2,4096
100,25,3.0248611000000096,6.0,13028.0,500,0.2,4096
