,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,18.0,500,0.09209569999995892,"[6, 3, 10, 7, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 5, 1, 11, 4, 0, 11, 9, 5, 11, 8, 0, 10, 10, 9, 11, 11, 2, 11, 6, 3, 8, 2, 4, 2, 6, 4, 8, 6, 1, 3, 8, 11, 1, 9, 8, 9, 4, 1, 3, 11, 11, 6, 11, 7, 2, 0, 3, 1, 7, 3, 1, 5, 5, 9, 3, 5, 1, 9, 11, 1, 9, 3, 7, 6, 11, 8, 7, 4, 1, 4, 7, 9, 8, 11, 11, 11, 8, 0]",500,0.1,4096
1,1,8.0,1002,0.21139429999999493,"[10, 2, 3, 3, 3, 1, 10, 5, 0, 11, 4, 1, 8, 1, 5, 3, 5, 1, 11, 1, 11, 6, 2, 2, 6, 7, 6, 2, 2, 6, 2, 1, 6, 2, 4, 6, 1, 7, 1, 3, 3, 7, 10, 0, 11, 8, 5, 3, 5, 5, 8, 10, 11, 3, 7, 0, 5, 4, 2, 3, 7, 10, 10, 9, 10, 1, 7, 6, 0, 1, 6, 10, 10, 2, 1, 0, 6, 2, 5, 9, 7, 5, 6, 10, 5, 6, 4, 8, 2, 5, 8, 0, 4, 3, 8, 10, 10, 0, 3, 0]",500,0.1,4096
2,2,8.0,1503,0.33006539999996676,"[10, 2, 3, 3, 3, 1, 10, 5, 0, 11, 4, 1, 8, 1, 5, 3, 5, 1, 11, 1, 11, 6, 2, 2, 6, 7, 6, 2, 2, 6, 2, 1, 6, 2, 4, 6, 1, 7, 1, 3, 3, 7, 10, 0, 11, 8, 5, 3, 5, 5, 8, 10, 11, 3, 7, 0, 5, 4, 2, 3, 7, 10, 10, 9, 10, 1, 7, 6, 0, 1, 6, 10, 10, 2, 1, 0, 6, 2, 5, 9, 7, 5, 6, 10, 5, 6, 4, 8, 2, 5, 8, 0, 4, 3, 8, 10, 10, 0, 3, 0]",500,0.1,4096
3,4,8.0,2505,0.5566862000000015,"[10, 2, 3, 3, 3, 1, 10, 5, 0, 11, 4, 1, 8, 1, 5, 3, 5, 1, 11, 1, 11, 6, 2, 2, 6, 7, 6, 2, 2, 6, 2, 1, 6, 2, 4, 6, 1, 7, 1, 3, 3, 7, 10, 0, 11, 8, 5, 3, 5, 5, 8, 10, 11, 3, 7, 0, 5, 4, 2, 3, 7, 10, 10, 9, 10, 1, 7, 6, 0, 1, 6, 10, 10, 2, 1, 0, 6, 2, 5, 9, 7, 5, 6, 10, 5, 6, 4, 8, 2, 5, 8, 0, 4, 3, 8, 10, 10, 0, 3, 0]",500,0.1,4096
4,8,7.0,4510,0.9939630999999736,"[7, 8, 7, 0, 6, 5, 3, 4, 2, 0, 2, 8, 8, 6, 10, 8, 3, 4, 2, 5, 7, 5, 8, 8, 9, 7, 6, 5, 2, 11, 1, 11, 9, 9, 5, 3, 9, 6, 1, 3, 10, 11, 11, 1, 7, 3, 7, 7, 4, 4, 8, 10, 8, 3, 2, 1, 6, 6, 1, 11, 3, 6, 7, 11, 11, 11, 9, 6, 11, 4, 9, 4, 6, 9, 11, 11, 0, 9, 6, 0, 1, 8, 9, 7, 4, 0, 1, 9, 5, 1, 11, 8, 1, 1, 11, 11, 7, 6, 4, 0]",500,0.1,4096
5,16,6.0,8519,2.018250299999977,"[3, 2, 5, 10, 6, 6, 11, 7, 1, 6, 11, 2, 10, 4, 6, 2, 7, 9, 3, 0, 1, 8, 9, 9, 3, 0, 0, 7, 2, 9, 10, 3, 7, 3, 0, 3, 6, 4, 3, 2, 3, 7, 4, 8, 5, 11, 10, 4, 2, 2, 8, 6, 0, 5, 7, 1, 4, 11, 8, 11, 8, 3, 8, 11, 2, 3, 5, 1, 7, 4, 1, 9, 8, 7, 1, 11, 2, 3, 10, 10, 3, 4, 5, 6, 8, 6, 9, 8, 6, 6, 11, 8, 7, 2, 11, 4, 3, 11, 10, 7]",500,0.1,4096
6,32,5.0,16536,3.7712684999999624,"[9, 8, 10, 2, 0, 1, 3, 11, 2, 0, 9, 8, 11, 6, 0, 9, 5, 5, 2, 5, 2, 0, 8, 0, 10, 1, 4, 10, 9, 10, 1, 11, 7, 9, 9, 3, 9, 10, 7, 3, 5, 11, 4, 0, 7, 0, 11, 4, 4, 4, 8, 0, 8, 3, 8, 1, 5, 2, 1, 8, 3, 6, 10, 11, 3, 7, 4, 6, 11, 11, 9, 2, 6, 6, 11, 11, 6, 9, 6, 0, 8, 4, 7, 4, 4, 0, 1, 8, 5, 1, 5, 9, 1, 1, 11, 4, 1, 6, 4, 9]",500,0.1,4096
7,64,2.0,32571,7.309827999999982,"[3, 8, 10, 2, 0, 5, 3, 4, 2, 5, 2, 8, 11, 6, 0, 8, 5, 4, 11, 4, 7, 4, 1, 0, 9, 7, 6, 5, 6, 11, 1, 11, 9, 0, 9, 3, 9, 5, 8, 3, 5, 11, 10, 5, 0, 0, 8, 1, 4, 4, 4, 0, 8, 3, 10, 5, 5, 2, 1, 7, 7, 9, 10, 11, 10, 3, 4, 7, 10, 11, 9, 10, 6, 1, 4, 2, 6, 9, 6, 0, 1, 4, 7, 5, 10, 0, 1, 6, 5, 3, 3, 2, 6, 1, 10, 4, 1, 8, 4, 0]",500,0.1,4096
8,128,0.0,37583,8.392684099999997,"[2, 8, 10, 2, 0, 5, 3, 9, 4, 0, 2, 8, 11, 6, 0, 3, 0, 4, 11, 5, 7, 4, 1, 0, 4, 2, 7, 5, 2, 3, 3, 7, 7, 0, 9, 3, 9, 6, 3, 3, 2, 11, 10, 0, 0, 6, 4, 3, 4, 0, 9, 5, 5, 3, 10, 1, 7, 3, 6, 8, 7, 9, 10, 11, 3, 11, 9, 4, 2, 3, 9, 10, 6, 9, 11, 11, 3, 9, 8, 0, 1, 10, 7, 4, 10, 5, 1, 6, 5, 1, 11, 8, 9, 1, 11, 4, 10, 6, 4, 2]",500,0.1,4096
9,256,0.0,37583,8.392684099999997,"[2, 8, 10, 2, 0, 5, 3, 9, 4, 0, 2, 8, 11, 6, 0, 3, 0, 4, 11, 5, 7, 4, 1, 0, 4, 2, 7, 5, 2, 3, 3, 7, 7, 0, 9, 3, 9, 6, 3, 3, 2, 11, 10, 0, 0, 6, 4, 3, 4, 0, 9, 5, 5, 3, 10, 1, 7, 3, 6, 8, 7, 9, 10, 11, 3, 11, 9, 4, 2, 3, 9, 10, 6, 9, 11, 11, 3, 9, 8, 0, 1, 10, 7, 4, 10, 5, 1, 6, 5, 1, 11, 8, 9, 1, 11, 4, 10, 6, 4, 2]",500,0.1,4096
