,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,29.0,200,0.8841535999999905,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",200,0.1,4096
1,1,20.0,402,2.2250973000009253,"[22, 9, 13, 1, 12, 7, 12, 19, 21, 30, 26, 8, 16, 20, 29, 0, 23, 5, 22, 2, 4, 30, 16, 4, 29, 27, 11, 17, 16, 20, 23, 10]",200,0.1,4096
2,2,19.0,604,3.2357478000012634,"[22, 6, 13, 30, 11, 5, 11, 19, 6, 28, 23, 0, 27, 29, 7, 1, 14, 8, 22, 11, 2, 10, 16, 18, 18, 27, 3, 17, 20, 20, 4, 30]",200,0.1,4096
3,4,18.0,1007,5.162500800000998,"[16, 11, 27, 24, 11, 20, 4, 19, 31, 15, 9, 0, 22, 7, 23, 28, 4, 25, 11, 22, 10, 3, 24, 9, 18, 21, 30, 17, 2, 26, 7, 12]",200,0.1,4096
4,8,17.0,1812,8.839103300000716,"[16, 21, 13, 29, 31, 18, 28, 19, 6, 15, 5, 26, 0, 20, 7, 24, 11, 23, 19, 31, 2, 25, 27, 11, 24, 8, 28, 17, 3, 21, 0, 10]",200,0.1,4096
5,16,15.0,3422,16.243352100002085,"[16, 4, 5, 30, 11, 18, 12, 22, 6, 20, 7, 0, 27, 27, 19, 28, 11, 25, 9, 21, 2, 13, 8, 9, 1, 21, 30, 17, 23, 31, 24, 10]",200,0.1,4096
6,32,10.0,6642,29.973389300001145,"[16, 11, 5, 30, 11, 18, 12, 22, 6, 20, 7, 0, 29, 27, 23, 1, 4, 25, 9, 31, 15, 13, 27, 5, 1, 21, 30, 17, 11, 29, 8, 10]",200,0.1,4096
7,64,5.0,13079,57.32525710000118,"[16, 11, 13, 24, 31, 18, 12, 19, 31, 15, 9, 0, 26, 8, 23, 2, 4, 25, 22, 3, 27, 10, 7, 5, 1, 21, 6, 17, 20, 29, 24, 10]",200,0.1,4096
8,128,3.0,25945,107.00927120000051,"[16, 6, 12, 24, 31, 18, 24, 19, 28, 15, 9, 0, 26, 8, 23, 2, 4, 25, 22, 3, 27, 13, 7, 5, 1, 21, 30, 17, 11, 29, 24, 10]",200,0.1,4096
9,256,3.0,51673,175.78717049999977,"[16, 6, 12, 24, 31, 18, 24, 19, 28, 15, 9, 0, 26, 8, 23, 2, 4, 25, 22, 3, 27, 13, 7, 5, 1, 21, 30, 17, 11, 29, 24, 10]",200,0.1,4096
10,512,3.0,56899,187.25915000000168,"[16, 6, 12, 24, 31, 18, 24, 19, 28, 15, 9, 0, 26, 8, 23, 2, 4, 25, 22, 3, 27, 13, 7, 5, 1, 21, 30, 17, 11, 29, 24, 10]",200,0.1,4096
11,1024,3.0,56899,187.25915000000168,"[16, 6, 12, 24, 31, 18, 24, 19, 28, 15, 9, 0, 26, 8, 23, 2, 4, 25, 22, 3, 27, 13, 7, 5, 1, 21, 30, 17, 11, 29, 24, 10]",200,0.1,4096
12,2048,3.0,56899,187.25915000000168,"[16, 6, 12, 24, 31, 18, 24, 19, 28, 15, 9, 0, 26, 8, 23, 2, 4, 25, 22, 3, 27, 13, 7, 5, 1, 21, 30, 17, 11, 29, 24, 10]",200,0.1,4096
13,4096,3.0,56899,187.25915000000168,"[16, 6, 12, 24, 31, 18, 24, 19, 28, 15, 9, 0, 26, 8, 23, 2, 4, 25, 22, 3, 27, 13, 7, 5, 1, 21, 30, 17, 11, 29, 24, 10]",200,0.1,4096
14,0,29.0,200,0.4337712999986252,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",200,0.2,4096
15,1,21.0,402,0.867801899999904,"[3, 4, 20, 7, 22, 18, 1, 14, 28, 3, 7, 20, 9, 13, 26, 28, 11, 27, 2, 15, 2, 9, 2, 29, 17, 10, 7, 5, 3, 27, 24, 22]",200,0.2,4096
16,2,20.0,604,1.409052499999234,"[22, 2, 0, 5, 17, 30, 0, 13, 5, 20, 15, 28, 4, 16, 9, 29, 1, 31, 5, 2, 12, 14, 31, 22, 15, 3, 8, 0, 26, 11, 30, 26]",200,0.2,4096
17,4,20.0,1006,2.333072000001266,"[22, 2, 0, 5, 17, 30, 0, 13, 5, 20, 15, 28, 4, 16, 9, 29, 1, 31, 5, 2, 12, 14, 31, 22, 15, 3, 8, 0, 26, 11, 30, 26]",200,0.2,4096
18,8,18.0,1812,4.084609599998657,"[16, 5, 23, 7, 13, 7, 18, 19, 18, 26, 27, 0, 9, 1, 9, 29, 31, 1, 10, 10, 3, 6, 30, 25, 14, 26, 23, 5, 3, 25, 16, 2]",200,0.2,4096
19,16,17.0,3421,7.351210500000889,"[7, 27, 0, 7, 12, 7, 2, 19, 21, 4, 8, 11, 5, 1, 24, 18, 15, 0, 14, 25, 31, 3, 28, 22, 15, 6, 2, 28, 12, 0, 16, 11]",200,0.2,4096
20,32,10.0,6641,12.88296790000095,"[7, 3, 23, 7, 29, 13, 14, 16, 28, 4, 27, 1, 9, 9, 24, 20, 31, 20, 16, 10, 21, 6, 8, 22, 15, 30, 2, 5, 12, 0, 12, 25]",200,0.2,4096
21,64,4.0,13078,22.76558389999991,"[3, 3, 23, 7, 13, 18, 14, 19, 28, 4, 27, 1, 9, 9, 24, 29, 31, 10, 16, 30, 20, 6, 8, 22, 15, 26, 2, 5, 15, 0, 12, 25]",200,0.2,4096
22,128,2.0,25944,42.11182579999877,"[7, 17, 23, 21, 13, 18, 14, 19, 28, 4, 27, 1, 9, 9, 24, 29, 31, 10, 16, 30, 20, 6, 8, 22, 15, 26, 2, 5, 3, 0, 12, 25]",200,0.2,4096
23,256,2.0,51672,82.15709680000145,"[7, 17, 23, 21, 13, 18, 14, 19, 28, 4, 27, 1, 9, 9, 24, 29, 31, 10, 16, 30, 20, 6, 8, 22, 15, 26, 2, 5, 3, 0, 12, 25]",200,0.2,4096
24,512,1.0,92677,153.1919444999985,"[7, 17, 23, 21, 13, 18, 14, 19, 28, 4, 27, 0, 9, 1, 24, 29, 31, 10, 16, 30, 20, 1, 8, 22, 15, 26, 2, 5, 3, 6, 12, 25]",200,0.2,4096
25,1024,1.0,92677,153.1919444999985,"[7, 17, 23, 21, 13, 18, 14, 19, 28, 4, 27, 0, 9, 1, 24, 29, 31, 10, 16, 30, 20, 1, 8, 22, 15, 26, 2, 5, 3, 6, 12, 25]",200,0.2,4096
26,2048,1.0,92677,153.1919444999985,"[7, 17, 23, 21, 13, 18, 14, 19, 28, 4, 27, 0, 9, 1, 24, 29, 31, 10, 16, 30, 20, 1, 8, 22, 15, 26, 2, 5, 3, 6, 12, 25]",200,0.2,4096
27,4096,1.0,92677,153.1919444999985,"[7, 17, 23, 21, 13, 18, 14, 19, 28, 4, 27, 0, 9, 1, 24, 29, 31, 10, 16, 30, 20, 1, 8, 22, 15, 26, 2, 5, 3, 6, 12, 25]",200,0.2,4096
28,0,29.0,200,0.18852630000037607,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",200,0.3,4096
29,1,21.0,402,0.39548939999804134,"[3, 9, 23, 16, 9, 7, 18, 19, 9, 4, 8, 5, 5, 1, 24, 29, 16, 10, 15, 10, 21, 4, 8, 22, 23, 15, 20, 1, 28, 25, 7, 26]",200,0.3,4096
30,2,21.0,603,0.6099826999998186,"[3, 9, 23, 16, 9, 7, 18, 19, 9, 4, 8, 5, 5, 1, 24, 29, 16, 10, 15, 10, 21, 4, 8, 22, 23, 15, 20, 1, 28, 25, 7, 26]",200,0.3,4096
31,4,17.0,1007,1.0668753999998444,"[3, 3, 23, 16, 2, 31, 2, 19, 28, 31, 17, 5, 5, 1, 18, 20, 4, 17, 27, 10, 28, 21, 8, 22, 0, 15, 20, 1, 25, 25, 1, 26]",200,0.3,4096
32,8,15.0,1812,1.9147955000007642,"[3, 31, 16, 3, 5, 7, 25, 27, 21, 8, 26, 13, 9, 26, 2, 27, 12, 27, 5, 28, 0, 6, 30, 15, 0, 8, 17, 31, 9, 20, 30, 4]",200,0.3,4096
33,16,15.0,3420,3.7649333000008482,"[3, 31, 16, 3, 5, 7, 25, 27, 21, 8, 26, 13, 9, 26, 2, 27, 12, 27, 5, 28, 0, 6, 30, 15, 0, 8, 17, 31, 9, 20, 30, 4]",200,0.3,4096
34,32,11.0,6638,7.4079123999981675,"[4, 14, 23, 11, 24, 31, 2, 19, 26, 24, 27, 5, 7, 29, 6, 20, 30, 27, 27, 10, 23, 9, 2, 22, 3, 15, 24, 1, 21, 31, 5, 8]",200,0.3,4096
35,64,5.0,13074,13.936855700001615,"[7, 3, 12, 16, 27, 31, 2, 19, 17, 24, 27, 5, 9, 29, 18, 20, 4, 1, 29, 10, 28, 6, 8, 30, 0, 15, 24, 14, 21, 25, 22, 26]",200,0.3,4096
36,128,3.0,25940,27.868801699998585,"[7, 3, 12, 16, 2, 31, 11, 19, 17, 24, 27, 5, 9, 29, 18, 20, 4, 1, 29, 10, 28, 6, 8, 23, 0, 15, 13, 14, 21, 25, 22, 26]",200,0.3,4096
37,256,2.0,51669,55.08906289999868,"[7, 3, 12, 16, 2, 31, 11, 19, 17, 24, 27, 5, 9, 29, 18, 20, 4, 1, 13, 10, 28, 6, 8, 23, 0, 15, 25, 14, 21, 30, 22, 26]",200,0.3,4096
38,512,2.0,72372,75.56755930000145,"[7, 3, 12, 16, 2, 31, 11, 19, 17, 24, 27, 5, 9, 29, 18, 20, 4, 1, 13, 10, 28, 6, 8, 23, 0, 15, 25, 14, 21, 30, 22, 26]",200,0.3,4096
39,1024,2.0,72372,75.56755930000145,"[7, 3, 12, 16, 2, 31, 11, 19, 17, 24, 27, 5, 9, 29, 18, 20, 4, 1, 13, 10, 28, 6, 8, 23, 0, 15, 25, 14, 21, 30, 22, 26]",200,0.3,4096
40,2048,2.0,72372,75.56755930000145,"[7, 3, 12, 16, 2, 31, 11, 19, 17, 24, 27, 5, 9, 29, 18, 20, 4, 1, 13, 10, 28, 6, 8, 23, 0, 15, 25, 14, 21, 30, 22, 26]",200,0.3,4096
41,4096,2.0,72372,75.56755930000145,"[7, 3, 12, 16, 2, 31, 11, 19, 17, 24, 27, 5, 9, 29, 18, 20, 4, 1, 13, 10, 28, 6, 8, 23, 0, 15, 25, 14, 21, 30, 22, 26]",200,0.3,4096
42,0,29.0,200,0.19743250000101398,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",200,0.4,4096
43,1,20.0,402,0.4385842000010598,"[12, 29, 20, 24, 20, 13, 7, 13, 19, 23, 11, 31, 22, 31, 31, 22, 10, 4, 21, 27, 28, 12, 17, 1, 6, 15, 0, 16, 26, 28, 8, 5]",200,0.4,4096
44,2,20.0,603,0.6491552000006777,"[12, 29, 20, 24, 20, 13, 7, 13, 19, 23, 11, 31, 22, 31, 31, 22, 10, 4, 21, 27, 28, 12, 17, 1, 6, 15, 0, 16, 26, 28, 8, 5]",200,0.4,4096
45,4,19.0,1006,1.1389149999995425,"[22, 21, 21, 6, 5, 30, 24, 17, 19, 4, 4, 6, 16, 13, 3, 18, 27, 25, 2, 12, 2, 8, 19, 14, 23, 21, 28, 9, 20, 5, 2, 25]",200,0.4,4096
46,8,16.0,1811,2.1380487000024004,"[1, 24, 27, 23, 7, 5, 6, 25, 21, 10, 17, 2, 26, 17, 6, 0, 27, 7, 20, 29, 25, 19, 1, 31, 15, 30, 8, 22, 14, 4, 25, 13]",200,0.4,4096
47,16,16.0,3419,3.896220300001005,"[1, 24, 27, 23, 7, 5, 6, 25, 21, 10, 17, 2, 26, 17, 6, 0, 27, 7, 20, 29, 25, 19, 1, 31, 15, 30, 8, 22, 14, 4, 25, 13]",200,0.4,4096
48,32,13.0,6638,7.263799200001813,"[18, 3, 13, 28, 20, 5, 12, 27, 6, 23, 25, 19, 1, 20, 26, 0, 10, 4, 31, 0, 19, 8, 0, 14, 17, 13, 9, 3, 20, 26, 16, 11]",200,0.4,4096
49,64,5.0,13077,14.266402199998993,"[18, 24, 30, 28, 7, 5, 12, 31, 28, 14, 6, 13, 1, 20, 26, 0, 10, 4, 2, 0, 19, 29, 0, 11, 17, 22, 9, 3, 20, 27, 16, 21]",200,0.4,4096
50,128,1.0,25945,27.56768550000197,"[7, 27, 23, 28, 13, 5, 12, 31, 24, 14, 6, 22, 1, 30, 26, 0, 10, 4, 2, 0, 19, 3, 25, 11, 17, 29, 9, 18, 20, 8, 16, 21]",200,0.4,4096
51,256,1.0,51673,54.104138599999715,"[7, 27, 23, 28, 13, 5, 12, 31, 24, 14, 6, 22, 1, 30, 26, 0, 10, 4, 2, 0, 19, 3, 25, 11, 17, 29, 9, 18, 20, 8, 16, 21]",200,0.4,4096
52,512,1.0,64537,67.56291870000132,"[7, 27, 23, 28, 13, 5, 12, 31, 24, 14, 6, 22, 1, 30, 26, 0, 10, 4, 2, 0, 19, 3, 25, 11, 17, 29, 9, 18, 20, 8, 16, 21]",200,0.4,4096
53,1024,1.0,64537,67.56291870000132,"[7, 27, 23, 28, 13, 5, 12, 31, 24, 14, 6, 22, 1, 30, 26, 0, 10, 4, 2, 0, 19, 3, 25, 11, 17, 29, 9, 18, 20, 8, 16, 21]",200,0.4,4096
54,2048,1.0,64537,67.56291870000132,"[7, 27, 23, 28, 13, 5, 12, 31, 24, 14, 6, 22, 1, 30, 26, 0, 10, 4, 2, 0, 19, 3, 25, 11, 17, 29, 9, 18, 20, 8, 16, 21]",200,0.4,4096
55,4096,1.0,64537,67.56291870000132,"[7, 27, 23, 28, 13, 5, 12, 31, 24, 14, 6, 22, 1, 30, 26, 0, 10, 4, 2, 0, 19, 3, 25, 11, 17, 29, 9, 18, 20, 8, 16, 21]",200,0.4,4096
56,0,29.0,200,0.18297119999988354,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",200,0.5,4096
57,1,19.0,402,0.4219180000000051,"[10, 22, 22, 26, 28, 14, 5, 13, 26, 13, 3, 19, 7, 18, 2, 2, 29, 30, 29, 20, 1, 21, 24, 5, 14, 13, 9, 8, 22, 31, 15, 5]",200,0.5,4096
58,2,19.0,603,0.7023434999973688,"[10, 22, 22, 26, 28, 14, 5, 13, 26, 13, 3, 19, 7, 18, 2, 2, 29, 30, 29, 20, 1, 21, 24, 5, 14, 13, 9, 8, 22, 31, 15, 5]",200,0.5,4096
59,4,19.0,1005,1.1273954999996931,"[10, 22, 22, 26, 28, 14, 5, 13, 26, 13, 3, 19, 7, 18, 2, 2, 29, 30, 29, 20, 1, 21, 24, 5, 14, 13, 9, 8, 22, 31, 15, 5]",200,0.5,4096
60,8,16.0,1811,2.048430799997732,"[24, 6, 21, 6, 13, 31, 8, 27, 19, 4, 20, 12, 6, 30, 7, 28, 22, 18, 27, 25, 28, 26, 29, 16, 3, 17, 3, 5, 2, 26, 11, 23]",200,0.5,4096
61,16,15.0,3420,3.7024855999989086,"[13, 21, 23, 26, 31, 1, 12, 22, 0, 31, 18, 2, 0, 30, 0, 0, 20, 6, 29, 25, 0, 24, 0, 27, 3, 30, 8, 11, 25, 4, 1, 14]",200,0.5,4096
62,32,14.0,6637,7.253682699996716,"[27, 29, 5, 18, 28, 6, 25, 31, 1, 16, 26, 7, 6, 2, 2, 0, 13, 30, 27, 20, 28, 25, 0, 14, 17, 17, 9, 22, 10, 4, 20, 12]",200,0.5,4096
63,64,6.0,13075,13.888330899997527,"[26, 29, 23, 18, 9, 6, 25, 27, 1, 31, 26, 7, 16, 30, 2, 0, 13, 30, 5, 25, 28, 21, 0, 14, 3, 17, 9, 22, 10, 4, 20, 8]",200,0.5,4096
64,128,2.0,25943,27.19914509999944,"[23, 29, 23, 18, 11, 6, 8, 19, 1, 31, 24, 7, 16, 30, 2, 9, 13, 3, 27, 25, 28, 26, 0, 14, 3, 17, 15, 22, 10, 4, 20, 5]",200,0.5,4096
65,256,1.0,51672,55.146871199998714,"[23, 29, 23, 18, 11, 6, 8, 19, 1, 31, 24, 7, 16, 30, 2, 9, 13, 3, 27, 25, 28, 26, 0, 14, 22, 17, 15, 12, 10, 4, 20, 5]",200,0.5,4096
66,512,1.0,70164,75.16328179999982,"[23, 29, 23, 18, 11, 6, 8, 19, 1, 31, 24, 7, 16, 30, 2, 9, 13, 3, 27, 25, 28, 26, 0, 14, 22, 17, 15, 12, 10, 4, 20, 5]",200,0.5,4096
67,1024,1.0,70164,75.16328179999982,"[23, 29, 23, 18, 11, 6, 8, 19, 1, 31, 24, 7, 16, 30, 2, 9, 13, 3, 27, 25, 28, 26, 0, 14, 22, 17, 15, 12, 10, 4, 20, 5]",200,0.5,4096
68,2048,1.0,70164,75.16328179999982,"[23, 29, 23, 18, 11, 6, 8, 19, 1, 31, 24, 7, 16, 30, 2, 9, 13, 3, 27, 25, 28, 26, 0, 14, 22, 17, 15, 12, 10, 4, 20, 5]",200,0.5,4096
69,4096,1.0,70164,75.16328179999982,"[23, 29, 23, 18, 11, 6, 8, 19, 1, 31, 24, 7, 16, 30, 2, 9, 13, 3, 27, 25, 28, 26, 0, 14, 22, 17, 15, 12, 10, 4, 20, 5]",200,0.5,4096
70,0,29.0,200,0.22362690000227303,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",200,0.6,4096
71,1,21.0,402,0.520196900000883,"[21, 27, 16, 26, 16, 1, 1, 27, 27, 22, 4, 0, 0, 8, 18, 29, 0, 12, 19, 25, 31, 5, 1, 5, 6, 22, 13, 25, 17, 14, 30, 9]",200,0.6,4096
72,2,21.0,603,0.8202832999995735,"[21, 27, 16, 26, 16, 1, 1, 27, 27, 22, 4, 0, 0, 8, 18, 29, 0, 12, 19, 25, 31, 5, 1, 5, 6, 22, 13, 25, 17, 14, 30, 9]",200,0.6,4096
73,4,18.0,1006,1.3403279000012844,"[17, 18, 30, 29, 21, 3, 12, 19, 19, 22, 1, 7, 1, 9, 9, 0, 23, 7, 20, 14, 4, 22, 27, 6, 17, 28, 8, 31, 0, 24, 16, 11]",200,0.6,4096
74,8,16.0,1811,2.329075500001636,"[22, 21, 11, 29, 5, 5, 24, 30, 5, 7, 17, 1, 27, 23, 28, 0, 27, 12, 31, 0, 14, 4, 31, 12, 7, 3, 20, 31, 16, 21, 21, 26]",200,0.6,4096
75,16,15.0,3420,4.205496800001129,"[17, 18, 30, 2, 5, 5, 24, 19, 15, 7, 26, 1, 27, 9, 9, 0, 18, 12, 31, 0, 4, 22, 18, 28, 17, 28, 8, 31, 3, 21, 16, 11]",200,0.6,4096
76,32,12.0,6637,7.443164000000252,"[17, 21, 10, 29, 31, 2, 24, 30, 5, 7, 26, 1, 27, 23, 0, 0, 27, 6, 31, 14, 4, 22, 25, 29, 7, 3, 28, 31, 16, 9, 21, 11]",200,0.6,4096
77,64,5.0,13076,14.470302199999423,"[8, 6, 30, 2, 13, 5, 24, 19, 15, 7, 26, 1, 27, 23, 0, 0, 18, 12, 31, 0, 4, 22, 25, 29, 17, 3, 20, 31, 16, 21, 21, 11]",200,0.6,4096
78,128,2.0,25943,27.668381800001953,"[8, 6, 30, 2, 13, 5, 24, 19, 15, 7, 26, 1, 27, 9, 0, 0, 18, 28, 31, 14, 4, 22, 25, 29, 17, 3, 20, 10, 16, 21, 21, 11]",200,0.6,4096
79,256,0.0,47251,48.93941339999947,"[8, 6, 30, 2, 13, 5, 24, 19, 15, 7, 26, 1, 27, 9, 0, 12, 18, 28, 31, 14, 4, 22, 25, 29, 17, 3, 20, 10, 16, 11, 21, 23]",200,0.6,4096
80,512,0.0,47251,48.93941339999947,"[8, 6, 30, 2, 13, 5, 24, 19, 15, 7, 26, 1, 27, 9, 0, 12, 18, 28, 31, 14, 4, 22, 25, 29, 17, 3, 20, 10, 16, 11, 21, 23]",200,0.6,4096
81,1024,0.0,47251,48.93941339999947,"[8, 6, 30, 2, 13, 5, 24, 19, 15, 7, 26, 1, 27, 9, 0, 12, 18, 28, 31, 14, 4, 22, 25, 29, 17, 3, 20, 10, 16, 11, 21, 23]",200,0.6,4096
82,2048,0.0,47251,48.93941339999947,"[8, 6, 30, 2, 13, 5, 24, 19, 15, 7, 26, 1, 27, 9, 0, 12, 18, 28, 31, 14, 4, 22, 25, 29, 17, 3, 20, 10, 16, 11, 21, 23]",200,0.6,4096
83,4096,0.0,47251,48.93941339999947,"[8, 6, 30, 2, 13, 5, 24, 19, 15, 7, 26, 1, 27, 9, 0, 12, 18, 28, 31, 14, 4, 22, 25, 29, 17, 3, 20, 10, 16, 11, 21, 23]",200,0.6,4096
84,0,29.0,500,0.45637669999996433,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",500,0.1,4096
85,1,21.0,1002,0.976883799998177,"[15, 22, 19, 28, 27, 7, 21, 2, 14, 4, 0, 1, 0, 27, 14, 9, 17, 2, 31, 23, 26, 31, 23, 13, 10, 12, 3, 24, 31, 21, 23, 13]",500,0.1,4096
86,2,20.0,1504,1.542500100000325,"[9, 3, 21, 13, 3, 17, 31, 11, 1, 7, 0, 3, 25, 30, 14, 20, 28, 13, 15, 26, 1, 9, 1, 27, 10, 2, 17, 12, 3, 16, 21, 23]",500,0.1,4096
87,4,18.0,2507,2.5323673999992025,"[8, 9, 16, 0, 24, 15, 28, 17, 11, 26, 5, 18, 2, 11, 31, 23, 9, 3, 27, 8, 2, 21, 25, 7, 29, 6, 28, 21, 20, 28, 2, 19]",500,0.1,4096
88,8,18.0,4511,4.552199099998688,"[8, 9, 16, 0, 24, 15, 28, 17, 11, 26, 5, 18, 2, 11, 31, 23, 9, 3, 27, 8, 2, 21, 25, 7, 29, 6, 28, 21, 20, 28, 2, 19]",500,0.1,4096
89,16,17.0,8520,8.4442100999986,"[6, 2, 22, 20, 31, 30, 25, 5, 21, 16, 12, 2, 0, 8, 19, 27, 15, 0, 26, 13, 4, 13, 15, 29, 25, 3, 10, 16, 28, 17, 27, 21]",500,0.1,4096
90,32,14.0,16538,16.559216599998763,"[15, 2, 7, 24, 7, 3, 22, 11, 3, 21, 0, 14, 29, 23, 6, 28, 1, 18, 16, 13, 31, 3, 9, 30, 5, 15, 12, 24, 2, 25, 17, 8]",500,0.1,4096
91,64,10.0,32573,34.400498200000584,"[23, 21, 5, 12, 2, 26, 5, 18, 24, 4, 29, 1, 12, 27, 19, 30, 20, 17, 23, 10, 22, 25, 6, 3, 3, 31, 9, 24, 16, 25, 15, 7]",500,0.1,4096
