,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,1.7988036000169814,10.0,8000.0,True,8000,0.75,4096
1,1,3.991290800011484,1.0,16002.0,True,8000,0.75,4096
2,2,5.7361778000195045,1.0,24003.0,True,8000,0.75,4096
3,3,7.452323900011834,1.0,32004.0,True,8000,0.75,4096
4,4,9.12167120000231,1.0,40005.0,True,8000,0.75,4096
5,5,10.866294700012077,1.0,48006.0,True,8000,0.75,4096
6,6,12.542904500005534,1.0,56007.0,True,8000,0.75,4096
7,7,14.23840420000488,1.0,64008.0,True,8000,0.75,4096
8,8,15.930939000012586,1.0,72009.0,True,8000,0.75,4096
9,9,17.66000700002769,1.0,80010.0,True,8000,0.75,4096
10,10,19.371040800004266,1.0,88011.0,True,8000,0.75,4096
11,11,21.140347800013842,0.0,96013.0,True,8000,0.75,4096
