,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.33831300000019837,8.0,4000.0,True,4000,0.25,4096
1,1,0.9861247999942861,95.0,8002.0,True,4000,0.25,4096
2,2,1.8091983000049368,97.0,12004.0,True,4000,0.25,4096
3,3,2.4038415999966674,98.0,16006.0,True,4000,0.25,4096
4,4,2.9579155999963405,102.0,20008.0,True,4000,0.25,4096
5,5,3.603283599994029,107.0,24010.0,True,4000,0.25,4096
6,6,4.155407500002184,113.0,28012.0,True,4000,0.25,4096
7,7,4.777965500004939,113.0,32013.0,True,4000,0.25,4096
8,8,5.322918399993796,119.0,36015.0,True,4000,0.25,4096
9,9,5.957072200006223,121.0,40017.0,True,4000,0.25,4096
10,10,6.566917400006787,125.0,44019.0,True,4000,0.25,4096
11,11,7.15521080000326,134.0,48021.0,True,4000,0.25,4096
12,12,7.7556125999981305,134.0,52022.0,True,4000,0.25,4096
13,13,8.423157199998968,134.0,56023.0,True,4000,0.25,4096
14,14,9.059076899997308,138.0,60025.0,True,4000,0.25,4096
15,15,9.70727060000354,138.0,64026.0,True,4000,0.25,4096
16,16,10.408251700006076,138.0,68027.0,True,4000,0.25,4096
17,17,11.012195100003737,138.0,72028.0,True,4000,0.25,4096
18,18,11.645129500000621,138.0,76029.0,True,4000,0.25,4096
19,19,12.229157699999632,139.0,80031.0,True,4000,0.25,4096
20,20,12.886738200002583,139.0,84032.0,True,4000,0.25,4096
21,21,13.507440999994287,140.0,88034.0,True,4000,0.25,4096
22,22,14.342788800000562,140.0,92035.0,True,4000,0.25,4096
23,23,15.551542000001064,142.0,96037.0,True,4000,0.25,4096
24,24,16.830317700005253,143.0,100039.0,True,4000,0.25,4096
25,25,18.10531240000273,143.0,104040.0,True,4000,0.25,4096
26,26,19.413650700007565,143.0,108041.0,True,4000,0.25,4096
27,27,20.718402800004696,143.0,112042.0,True,4000,0.25,4096
28,28,21.996278100006748,143.0,116043.0,True,4000,0.25,4096
29,29,23.23000549999415,143.0,120044.0,True,4000,0.25,4096
30,30,24.45669479999924,143.0,124045.0,True,4000,0.25,4096
31,31,25.680763399999705,143.0,128046.0,True,4000,0.25,4096
32,32,26.901597500007483,143.0,132047.0,True,4000,0.25,4096
33,33,28.136231500000576,143.0,136048.0,True,4000,0.25,4096
34,34,29.39827819999482,143.0,140049.0,True,4000,0.25,4096
35,35,30.716088899993338,144.0,144051.0,True,4000,0.25,4096
36,36,32.01514469999529,144.0,148052.0,True,4000,0.25,4096
37,37,33.32547460000205,144.0,152053.0,True,4000,0.25,4096
38,38,34.64884930000699,144.0,156054.0,True,4000,0.25,4096
39,39,35.920608600004925,144.0,160055.0,True,4000,0.25,4096
40,40,37.227718399997684,144.0,164056.0,True,4000,0.25,4096
41,41,38.4624102999951,144.0,168057.0,True,4000,0.25,4096
42,42,39.696992400000454,144.0,172058.0,True,4000,0.25,4096
43,43,40.91236529999878,144.0,176059.0,True,4000,0.25,4096
44,44,42.137718300000415,144.0,180060.0,True,4000,0.25,4096
45,45,43.44085050000285,144.0,184061.0,True,4000,0.25,4096
46,46,44.73025979999511,144.0,188062.0,True,4000,0.25,4096
47,47,46.027415300006396,144.0,192063.0,True,4000,0.25,4096
48,48,47.379505499993684,144.0,196064.0,True,4000,0.25,4096
49,49,48.68777439999394,144.0,200065.0,True,4000,0.25,4096
50,50,49.95205619999615,144.0,204066.0,True,4000,0.25,4096
51,51,51.213151999996626,144.0,208067.0,True,4000,0.25,4096
52,52,52.497553599998355,144.0,212068.0,True,4000,0.25,4096
53,53,53.72263309999835,144.0,216069.0,True,4000,0.25,4096
54,54,54.9699166000064,144.0,220070.0,True,4000,0.25,4096
55,55,56.1989956000034,144.0,224071.0,True,4000,0.25,4096
