,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,29.0,1000,0.9150616000042646,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",True,1000,0.25,4096
1,1,19.0,2002,2.6621863000036683,"[30.0, 1.0, 1.0, 12.0, 22.0, 1.0, 11.0, 22.0, 29.0, 4.0, 18.0, 24.0, 15.0, 9.0, 6.0, 20.0, 4.0, 15.0, 24.0, 0.0, 20.0, 10.0, 23.0, 13.0, 28.0, 16.0, 6.0, 9.0, 20.0, 2.0, 27.0, 7.0]",True,1000,0.25,4096
2,2,19.0,3003,4.282271800002491,"[30.0, 1.0, 1.0, 12.0, 22.0, 1.0, 11.0, 22.0, 29.0, 4.0, 18.0, 24.0, 15.0, 9.0, 6.0, 20.0, 4.0, 15.0, 24.0, 0.0, 20.0, 10.0, 23.0, 13.0, 28.0, 16.0, 6.0, 9.0, 20.0, 2.0, 27.0, 7.0]",True,1000,0.25,4096
3,4,16.0,5006,7.657205800001975,"[18.0, 21.0, 23.0, 3.0, 11.0, 24.0, 24.0, 29.0, 18.0, 5.0, 22.0, 5.0, 28.0, 12.0, 9.0, 29.0, 4.0, 25.0, 1.0, 0.0, 11.0, 10.0, 2.0, 14.0, 16.0, 2.0, 28.0, 19.0, 31.0, 23.0, 27.0, 7.0]",True,1000,0.25,4096
4,8,14.0,9012,14.442498100004741,"[4.0, 14.0, 1.0, 18.0, 21.0, 23.0, 16.0, 1.0, 29.0, 9.0, 30.0, 25.0, 31.0, 19.0, 21.0, 20.0, 28.0, 17.0, 20.0, 5.0, 15.0, 30.0, 7.0, 6.0, 25.0, 12.0, 24.0, 3.0, 28.0, 26.0, 11.0, 0.0]",True,1000,0.25,4096
5,16,7.0,17025,29.03231720000622,"[11.0, 13.0, 16.0, 27.0, 30.0, 4.0, 6.0, 15.0, 9.0, 11.0, 28.0, 5.0, 28.0, 10.0, 18.0, 20.0, 0.0, 7.0, 25.0, 26.0, 29.0, 31.0, 1.0, 8.0, 2.0, 0.0, 3.0, 14.0, 22.0, 17.0, 12.0, 24.0]",True,1000,0.25,4096
6,32,7.0,33041,72.19083959999989,"[11.0, 13.0, 16.0, 27.0, 30.0, 4.0, 6.0, 15.0, 9.0, 11.0, 28.0, 5.0, 28.0, 10.0, 18.0, 20.0, 0.0, 7.0, 25.0, 26.0, 29.0, 31.0, 1.0, 8.0, 2.0, 0.0, 3.0, 14.0, 22.0, 17.0, 12.0, 24.0]",True,1000,0.25,4096
7,64,7.0,65073,167.76623290000134,"[11.0, 13.0, 16.0, 27.0, 30.0, 4.0, 6.0, 15.0, 9.0, 11.0, 28.0, 5.0, 28.0, 10.0, 18.0, 20.0, 0.0, 7.0, 25.0, 26.0, 29.0, 31.0, 1.0, 8.0, 2.0, 0.0, 3.0, 14.0, 22.0, 17.0, 12.0, 24.0]",True,1000,0.25,4096
8,128,7.0,129137,361.4416435000021,"[11.0, 13.0, 16.0, 27.0, 30.0, 4.0, 6.0, 15.0, 9.0, 11.0, 28.0, 5.0, 28.0, 10.0, 18.0, 20.0, 0.0, 7.0, 25.0, 26.0, 29.0, 31.0, 1.0, 8.0, 2.0, 0.0, 3.0, 14.0, 22.0, 17.0, 12.0, 24.0]",True,1000,0.25,4096
9,256,6.0,257266,758.0996699000025,"[13.0, 13.0, 16.0, 27.0, 30.0, 4.0, 6.0, 15.0, 9.0, 11.0, 28.0, 30.0, 28.0, 10.0, 18.0, 20.0, 0.0, 7.0, 25.0, 14.0, 29.0, 31.0, 1.0, 8.0, 2.0, 0.0, 3.0, 10.0, 22.0, 17.0, 12.0, 23.0]",True,1000,0.25,4096
10,512,6.0,361370,1082.9074966000044,"[13.0, 13.0, 16.0, 27.0, 30.0, 4.0, 6.0, 15.0, 9.0, 11.0, 28.0, 30.0, 28.0, 10.0, 18.0, 20.0, 0.0, 7.0, 25.0, 14.0, 29.0, 31.0, 1.0, 8.0, 2.0, 0.0, 3.0, 10.0, 22.0, 17.0, 12.0, 23.0]",True,1000,0.25,4096
11,1024,6.0,361370,1082.9074966000044,"[13.0, 13.0, 16.0, 27.0, 30.0, 4.0, 6.0, 15.0, 9.0, 11.0, 28.0, 30.0, 28.0, 10.0, 18.0, 20.0, 0.0, 7.0, 25.0, 14.0, 29.0, 31.0, 1.0, 8.0, 2.0, 0.0, 3.0, 10.0, 22.0, 17.0, 12.0, 23.0]",True,1000,0.25,4096
12,2048,6.0,361370,1082.9074966000044,"[13.0, 13.0, 16.0, 27.0, 30.0, 4.0, 6.0, 15.0, 9.0, 11.0, 28.0, 30.0, 28.0, 10.0, 18.0, 20.0, 0.0, 7.0, 25.0, 14.0, 29.0, 31.0, 1.0, 8.0, 2.0, 0.0, 3.0, 10.0, 22.0, 17.0, 12.0, 23.0]",True,1000,0.25,4096
13,4096,6.0,361370,1082.9074966000044,"[13.0, 13.0, 16.0, 27.0, 30.0, 4.0, 6.0, 15.0, 9.0, 11.0, 28.0, 30.0, 28.0, 10.0, 18.0, 20.0, 0.0, 7.0, 25.0, 14.0, 29.0, 31.0, 1.0, 8.0, 2.0, 0.0, 3.0, 10.0, 22.0, 17.0, 12.0, 23.0]",True,1000,0.25,4096
14,0,29.0,1000,0.9008027999952901,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",True,1000,0.5,4096
15,1,18.0,2002,3.1104304999971646,"[10.0, 20.0, 21.0, 31.0, 0.0, 1.0, 9.0, 29.0, 25.0, 20.0, 10.0, 13.0, 30.0, 12.0, 8.0, 27.0, 29.0, 4.0, 22.0, 24.0, 3.0, 18.0, 13.0, 18.0, 14.0, 29.0, 26.0, 2.0, 27.0, 27.0, 6.0, 17.0]",True,1000,0.5,4096
16,2,18.0,3003,5.21756219999952,"[10.0, 20.0, 21.0, 31.0, 0.0, 1.0, 9.0, 29.0, 25.0, 20.0, 10.0, 13.0, 30.0, 12.0, 8.0, 27.0, 29.0, 4.0, 22.0, 24.0, 3.0, 18.0, 13.0, 18.0, 14.0, 29.0, 26.0, 2.0, 27.0, 27.0, 6.0, 17.0]",True,1000,0.5,4096
17,4,17.0,5006,9.721404999996594,"[1.0, 28.0, 6.0, 6.0, 30.0, 20.0, 11.0, 13.0, 30.0, 27.0, 5.0, 8.0, 4.0, 0.0, 7.0, 0.0, 17.0, 20.0, 29.0, 8.0, 3.0, 9.0, 18.0, 3.0, 26.0, 19.0, 1.0, 31.0, 5.0, 23.0, 21.0, 3.0]",True,1000,0.5,4096
18,8,16.0,9011,18.414181699998153,"[4.0, 13.0, 18.0, 26.0, 20.0, 6.0, 31.0, 31.0, 28.0, 9.0, 12.0, 29.0, 25.0, 30.0, 1.0, 12.0, 23.0, 2.0, 31.0, 27.0, 16.0, 7.0, 31.0, 29.0, 27.0, 16.0, 8.0, 27.0, 0.0, 9.0, 5.0, 19.0]",True,1000,0.5,4096
19,16,11.0,17020,35.86233329999959,"[22.0, 25.0, 17.0, 7.0, 1.0, 19.0, 6.0, 10.0, 17.0, 5.0, 28.0, 0.0, 28.0, 21.0, 19.0, 8.0, 29.0, 11.0, 29.0, 31.0, 7.0, 9.0, 27.0, 29.0, 4.0, 16.0, 9.0, 24.0, 20.0, 30.0, 25.0, 13.0]",True,1000,0.5,4096
20,32,11.0,33036,75.23178299999563,"[22.0, 25.0, 17.0, 7.0, 1.0, 19.0, 6.0, 10.0, 17.0, 5.0, 28.0, 0.0, 28.0, 21.0, 19.0, 8.0, 29.0, 11.0, 29.0, 31.0, 7.0, 9.0, 27.0, 29.0, 4.0, 16.0, 9.0, 24.0, 20.0, 30.0, 25.0, 13.0]",True,1000,0.5,4096
21,64,11.0,65068,174.96858619999693,"[22.0, 25.0, 17.0, 7.0, 1.0, 19.0, 6.0, 10.0, 17.0, 5.0, 28.0, 0.0, 28.0, 21.0, 19.0, 8.0, 29.0, 11.0, 29.0, 31.0, 7.0, 9.0, 27.0, 29.0, 4.0, 16.0, 9.0, 24.0, 20.0, 30.0, 25.0, 13.0]",True,1000,0.5,4096
22,128,11.0,129132,377.43050379999477,"[22.0, 25.0, 17.0, 7.0, 1.0, 19.0, 6.0, 10.0, 17.0, 5.0, 28.0, 0.0, 28.0, 21.0, 19.0, 8.0, 29.0, 11.0, 29.0, 31.0, 7.0, 9.0, 27.0, 29.0, 4.0, 16.0, 9.0, 24.0, 20.0, 30.0, 25.0, 13.0]",True,1000,0.5,4096
23,256,11.0,212215,640.029916499996,"[22.0, 25.0, 17.0, 7.0, 1.0, 19.0, 6.0, 10.0, 17.0, 5.0, 28.0, 0.0, 28.0, 21.0, 19.0, 8.0, 29.0, 11.0, 29.0, 31.0, 7.0, 9.0, 27.0, 29.0, 4.0, 16.0, 9.0, 24.0, 20.0, 30.0, 25.0, 13.0]",True,1000,0.5,4096
24,512,11.0,212215,640.029916499996,"[22.0, 25.0, 17.0, 7.0, 1.0, 19.0, 6.0, 10.0, 17.0, 5.0, 28.0, 0.0, 28.0, 21.0, 19.0, 8.0, 29.0, 11.0, 29.0, 31.0, 7.0, 9.0, 27.0, 29.0, 4.0, 16.0, 9.0, 24.0, 20.0, 30.0, 25.0, 13.0]",True,1000,0.5,4096
25,1024,11.0,212215,640.029916499996,"[22.0, 25.0, 17.0, 7.0, 1.0, 19.0, 6.0, 10.0, 17.0, 5.0, 28.0, 0.0, 28.0, 21.0, 19.0, 8.0, 29.0, 11.0, 29.0, 31.0, 7.0, 9.0, 27.0, 29.0, 4.0, 16.0, 9.0, 24.0, 20.0, 30.0, 25.0, 13.0]",True,1000,0.5,4096
