,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,64.0,0,0.002920400002039969,"[38, 51, 28, 14, 42, 7, 60, 20, 38, 57, 18, 22, 10, 10, 23, 52, 35, 39, 23, 2, 21, 52, 1, 23, 43, 29, 37, 1, 63, 59, 20, 32, 11, 57, 21, 60, 43, 24, 48, 26, 58, 62, 41, 63, 27, 59, 15, 14, 61, 61, 46, 61, 50, 43, 54, 51, 63, 56, 2, 36, 50, 6, 20, 8]",12,4096,0
1,4096,10.0,1180,2.615882899990538,"[47, 51, 28, 14, 42, 7, 45, 13, 25, 57, 18, 4, 10, 31, 23, 44, 49, 39, 23, 2, 5, 52, 62, 0, 43, 29, 8, 34, 63, 59, 40, 32, 11, 53, 6, 60, 22, 24, 26, 3, 58, 62, 41, 19, 4, 59, 35, 15, 61, 27, 46, 48, 1, 4, 54, 16, 37, 56, 21, 33, 63, 36, 20, 17]",12,4096,0
2,0,72.0,1180,2.6370840999879874,"[6, 9, 40, 31, 33, 62, 27, 59, 14, 29, 36, 28, 21, 3, 19, 31, 35, 49, 3, 26, 63, 16, 11, 21, 16, 9, 53, 0, 21, 25, 55, 58, 17, 49, 13, 63, 46, 28, 11, 35, 58, 34, 51, 60, 11, 6, 28, 10, 32, 5, 46, 14, 31, 50, 10, 57, 22, 25, 33, 45, 33, 28, 3, 16]",12,4096,1
3,4096,10.0,2897,8.555235799984075,"[6, 9, 40, 31, 33, 62, 27, 59, 52, 29, 61, 28, 24, 12, 55, 26, 35, 18, 3, 26, 63, 47, 36, 21, 48, 38, 53, 37, 20, 17, 55, 1, 41, 49, 13, 39, 4, 28, 11, 11, 58, 34, 51, 19, 11, 25, 15, 10, 32, 5, 46, 26, 7, 50, 32, 57, 43, 60, 63, 45, 42, 2, 22, 44]",12,4096,1
4,0,64.0,2897,8.590238500008127,"[48, 22, 52, 55, 51, 22, 44, 4, 30, 61, 52, 61, 40, 56, 60, 56, 59, 53, 5, 36, 56, 9, 39, 6, 38, 37, 20, 60, 19, 2, 63, 50, 21, 46, 3, 27, 11, 37, 50, 62, 35, 46, 40, 4, 12, 22, 57, 49, 29, 61, 36, 24, 47, 26, 50, 13, 56, 61, 47, 58, 46, 53, 35, 38]",12,4096,2
5,4096,5.0,5920,24.4466407999862,"[48, 31, 52, 55, 51, 14, 44, 4, 30, 24, 4, 15, 28, 33, 22, 56, 41, 1, 5, 26, 56, 9, 39, 6, 38, 17, 54, 32, 19, 2, 63, 50, 21, 46, 3, 60, 7, 27, 59, 62, 4, 37, 40, 43, 12, 25, 57, 49, 29, 61, 35, 23, 47, 20, 11, 13, 16, 34, 36, 58, 42, 8, 18, 0]",12,4096,2
6,0,62.0,5920,24.51147480000509,"[3, 4, 0, 26, 27, 62, 28, 17, 11, 12, 40, 1, 36, 44, 15, 47, 23, 34, 21, 35, 10, 54, 57, 45, 28, 34, 47, 53, 14, 59, 30, 41, 40, 42, 15, 9, 48, 63, 31, 63, 50, 1, 23, 22, 1, 37, 30, 50, 39, 25, 28, 2, 57, 13, 63, 24, 47, 0, 52, 2, 53, 25, 17, 8]",12,4096,3
7,4096,11.0,7990,39.87584669998614,"[37, 40, 0, 61, 27, 62, 33, 15, 21, 12, 51, 60, 36, 44, 29, 47, 18, 34, 32, 35, 10, 54, 56, 45, 28, 61, 14, 53, 14, 4, 30, 41, 38, 42, 1, 9, 48, 19, 31, 57, 5, 58, 49, 22, 63, 37, 30, 46, 39, 25, 13, 2, 57, 6, 43, 24, 2, 16, 52, 55, 7, 39, 59, 8]",12,4096,3
8,0,71.0,7990,39.95350969998981,"[55, 56, 22, 55, 51, 47, 19, 44, 1, 23, 30, 26, 1, 56, 13, 3, 48, 12, 35, 34, 43, 53, 63, 54, 7, 1, 5, 30, 53, 9, 43, 20, 41, 9, 22, 2, 31, 19, 9, 28, 40, 51, 50, 45, 33, 36, 19, 60, 60, 7, 6, 5, 10, 63, 43, 17, 50, 41, 56, 28, 24, 62, 20, 45]",12,4096,4
9,4096,12.0,9330,51.63796490000095,"[58, 12, 37, 27, 51, 47, 16, 44, 53, 23, 61, 33, 28, 10, 13, 3, 46, 4, 35, 34, 23, 55, 63, 54, 7, 1, 52, 39, 21, 9, 5, 29, 41, 11, 0, 2, 31, 9, 9, 18, 40, 60, 50, 48, 1, 36, 19, 60, 15, 26, 6, 3, 59, 57, 43, 17, 50, 42, 56, 28, 24, 62, 20, 45]",12,4096,4
