,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,18.0,0,0.0011508000000048924,"[6, 3, 10, 7, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 5, 1, 11, 4, 0, 11, 9, 5, 11, 8, 0, 10, 10, 9, 11, 11, 2, 11, 6, 3, 8, 2, 4, 2, 6, 4, 8, 6, 1, 3, 8, 11, 1, 9, 8, 9, 4, 1, 3, 11, 11, 6, 11, 7, 2, 0, 3, 1, 7, 3, 1, 5, 5, 9, 3, 5, 1, 9, 11, 1, 9, 3, 7, 6, 11, 8, 7, 4, 1, 4, 7, 9, 8, 11, 11, 11, 8, 0]",25,4096,0
1,1,18.0,1,0.020200000000045293,"[6, 3, 10, 7, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 5, 1, 11, 4, 0, 11, 9, 5, 11, 8, 0, 10, 10, 9, 11, 11, 2, 11, 6, 3, 8, 2, 4, 2, 6, 4, 8, 6, 1, 3, 8, 11, 1, 9, 8, 9, 4, 1, 3, 11, 11, 6, 11, 7, 2, 0, 3, 1, 7, 3, 1, 5, 5, 9, 3, 5, 1, 9, 11, 1, 9, 3, 7, 6, 11, 8, 7, 4, 1, 4, 7, 9, 8, 11, 11, 11, 8, 0]",25,4096,0
2,0,23.0,1,0.03466690000004746,"[8, 7, 0, 11, 7, 7, 10, 2, 0, 7, 2, 2, 0, 10, 4, 9, 6, 9, 8, 11, 6, 8, 7, 11, 1, 0, 6, 6, 7, 4, 2, 11, 7, 5, 10, 2, 0, 2, 4, 2, 0, 4, 9, 6, 6, 10, 8, 9, 9, 11, 2, 6, 0, 3, 3, 4, 6, 6, 10, 3, 6, 10, 2, 5, 11, 1, 9, 8, 4, 5, 11, 11, 11, 11, 3, 10, 9, 6, 11, 8, 6, 0, 0, 8, 10, 8, 3, 8, 2, 6, 5, 7, 10, 8, 4, 0, 2, 9, 11, 7]",25,4096,1
3,1,23.0,2,0.050167100000066966,"[8, 7, 0, 11, 7, 7, 10, 2, 0, 7, 2, 2, 0, 10, 4, 9, 6, 9, 8, 11, 6, 8, 7, 11, 1, 0, 6, 6, 7, 4, 2, 11, 7, 5, 10, 2, 0, 2, 4, 2, 0, 4, 9, 6, 6, 10, 8, 9, 9, 11, 2, 6, 0, 3, 3, 4, 6, 6, 10, 3, 6, 10, 2, 5, 11, 1, 9, 8, 4, 5, 11, 11, 11, 11, 3, 10, 9, 6, 11, 8, 6, 0, 0, 8, 10, 8, 3, 8, 2, 6, 5, 7, 10, 8, 4, 0, 2, 9, 11, 7]",25,4096,1
4,0,18.0,2,0.06376439999996819,"[5, 7, 8, 3, 0, 0, 9, 3, 11, 6, 1, 2, 0, 4, 0, 7, 0, 10, 0, 1, 1, 11, 5, 6, 4, 0, 0, 2, 1, 4, 11, 9, 5, 6, 3, 6, 10, 7, 10, 0, 5, 7, 4, 3, 1, 5, 5, 10, 0, 8, 11, 10, 5, 2, 3, 11, 10, 3, 2, 9, 2, 2, 3, 6, 3, 8, 0, 7, 6, 1, 7, 0, 10, 11, 8, 8, 1, 6, 9, 2, 6, 11, 9, 8, 3, 11, 0, 1, 0, 11, 4, 4, 10, 6, 8, 8, 2, 2, 2, 3]",25,4096,2
5,1,18.0,3,0.07733989999996993,"[5, 7, 8, 3, 0, 0, 9, 3, 11, 6, 1, 2, 0, 4, 0, 7, 0, 10, 0, 1, 1, 11, 5, 6, 4, 0, 0, 2, 1, 4, 11, 9, 5, 6, 3, 6, 10, 7, 10, 0, 5, 7, 4, 3, 1, 5, 5, 10, 0, 8, 11, 10, 5, 2, 3, 11, 10, 3, 2, 9, 2, 2, 3, 6, 3, 8, 0, 7, 6, 1, 7, 0, 10, 11, 8, 8, 1, 6, 9, 2, 6, 11, 9, 8, 3, 11, 0, 1, 0, 11, 4, 4, 10, 6, 8, 8, 2, 2, 2, 3]",25,4096,2
6,0,21.0,3,0.09004960000004303,"[7, 0, 7, 3, 10, 0, 7, 3, 5, 7, 3, 2, 8, 2, 8, 1, 1, 1, 5, 2, 8, 3, 0, 3, 0, 4, 3, 7, 7, 6, 2, 0, 0, 11, 10, 2, 5, 6, 5, 5, 5, 2, 5, 7, 10, 10, 1, 4, 0, 11, 0, 4, 11, 2, 3, 2, 0, 0, 11, 11, 4, 5, 2, 11, 8, 4, 7, 0, 4, 2, 11, 0, 3, 4, 6, 0, 2, 1, 8, 9, 5, 9, 2, 7, 7, 1, 5, 6, 1, 10, 9, 1, 9, 0, 7, 0, 8, 10, 5, 6]",25,4096,3
7,1,22.0,5,0.10238000000003922,"[7, 0, 7, 3, 10, 0, 7, 3, 5, 7, 3, 2, 8, 2, 8, 1, 1, 1, 5, 2, 8, 3, 0, 3, 0, 4, 3, 7, 7, 6, 2, 0, 0, 11, 10, 2, 5, 6, 5, 5, 5, 2, 5, 7, 10, 10, 1, 4, 0, 11, 0, 4, 11, 2, 3, 2, 0, 0, 11, 11, 4, 5, 2, 11, 8, 4, 7, 0, 4, 2, 11, 0, 3, 4, 6, 0, 2, 1, 8, 9, 5, 9, 2, 7, 7, 1, 5, 6, 1, 10, 9, 1, 10, 0, 7, 0, 8, 10, 5, 6]",25,4096,3
8,0,32.0,5,0.11597360000007484,"[6, 9, 2, 1, 8, 7, 11, 9, 6, 8, 3, 3, 0, 7, 11, 2, 6, 11, 1, 1, 6, 5, 2, 8, 9, 5, 9, 9, 5, 0, 3, 9, 5, 5, 10, 11, 4, 0, 7, 4, 11, 11, 11, 4, 6, 3, 5, 3, 2, 6, 7, 3, 1, 11, 9, 2, 0, 7, 2, 11, 9, 6, 9, 4, 9, 4, 6, 8, 11, 4, 0, 9, 9, 0, 1, 5, 8, 7, 4, 0, 6, 4, 5, 6, 2, 11, 9, 2, 4, 5, 8, 11, 4, 0, 3, 4, 11, 9, 9, 4]",25,4096,4
9,1,32.0,6,0.1265114000000267,"[6, 9, 2, 1, 8, 7, 11, 9, 6, 8, 3, 3, 0, 7, 11, 2, 6, 11, 1, 1, 6, 5, 2, 8, 9, 5, 9, 9, 5, 0, 3, 9, 5, 5, 10, 11, 4, 0, 7, 4, 11, 11, 11, 4, 6, 3, 5, 3, 2, 6, 7, 3, 1, 11, 9, 2, 0, 7, 2, 11, 9, 6, 9, 4, 9, 4, 6, 8, 11, 4, 0, 9, 9, 0, 1, 5, 8, 7, 4, 0, 6, 4, 5, 6, 2, 11, 9, 2, 4, 5, 8, 11, 4, 0, 3, 4, 11, 9, 9, 4]",25,4096,4
