,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,29.0,0,0.005031999999999925,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",100,4096,0
1,1,29.0,1,0.03546480000000063,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",100,4096,0
2,2,29.0,2,0.048833000000000126,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",100,4096,0
3,4,29.0,4,0.06326359999999998,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",100,4096,0
4,8,27.0,9,0.08074450000000066,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 16, 31, 27, 20, 0]",100,4096,0
5,16,25.0,18,0.10989000000000004,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 6, 2, 21, 20, 1, 23, 11, 29, 5, 16, 31, 27, 20, 0]",100,4096,0
6,32,23.0,36,0.1517343000000002,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 28, 20, 3, 26, 6, 2, 21, 20, 1, 23, 11, 29, 5, 16, 31, 27, 20, 0]",100,4096,0
7,64,17.0,73,0.24103100000000044,"[25, 19, 28, 14, 10, 7, 28, 20, 29, 25, 18, 22, 10, 10, 28, 20, 8, 26, 6, 2, 21, 20, 1, 23, 11, 29, 5, 12, 31, 3, 20, 0]",100,4096,0
8,128,14.0,140,0.3605988,"[25, 19, 28, 14, 10, 7, 28, 20, 29, 25, 18, 22, 10, 10, 28, 20, 8, 26, 6, 2, 21, 28, 30, 23, 11, 29, 5, 12, 31, 3, 20, 24]",100,4096,0
9,256,12.0,270,0.568292200000001,"[25, 19, 28, 14, 0, 7, 28, 20, 29, 25, 18, 22, 10, 10, 28, 30, 8, 26, 6, 2, 21, 28, 30, 23, 11, 29, 5, 12, 31, 3, 20, 24]",100,4096,0
10,512,6.0,532,1.0794363999999996,"[25, 19, 28, 14, 0, 7, 13, 20, 29, 25, 18, 22, 10, 10, 28, 30, 8, 26, 6, 2, 21, 27, 16, 23, 11, 1, 5, 12, 31, 3, 20, 24]",100,4096,0
11,1024,3.0,1047,2.5584171000000007,"[25, 19, 28, 15, 0, 7, 13, 20, 29, 4, 18, 22, 10, 10, 28, 30, 8, 26, 6, 2, 21, 27, 16, 23, 11, 1, 5, 12, 31, 3, 14, 24]",100,4096,0
