,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.0006641000072704628,24.0,0.0,10,4096
1,1,0.01711250000516884,25.0,2.0,10,4096
2,2,0.017351200003759004,25.0,4.0,10,4096
3,3,0.017435100002330728,23.0,6.0,10,4096
4,4,0.01751180000428576,23.0,8.0,10,4096
5,5,0.01758230000268668,24.0,10.0,10,4096
6,6,0.01763680001022294,24.0,11.0,10,4096
7,7,0.017708900006255135,28.0,13.0,10,4096
8,8,0.017785700008971617,28.0,15.0,10,4096
9,9,0.017858799998066388,29.0,17.0,10,4096
10,10,0.017937199998414144,29.0,19.0,10,4096
11,11,0.0180155999987619,29.0,21.0,10,4096
12,12,0.018095600011292845,29.0,23.0,10,4096
13,13,0.018176400000811554,28.0,25.0,10,4096
14,14,0.018253600006573834,29.0,27.0,10,4096
15,15,0.01833640001132153,29.0,29.0,10,4096
16,16,0.01839920000929851,29.0,30.0,10,4096
17,17,0.01848460000474006,26.0,32.0,10,4096
18,18,0.01854970000567846,26.0,33.0,10,4096
19,19,0.018635300002642907,25.0,35.0,10,4096
20,20,0.018700600005104207,25.0,36.0,10,4096
21,21,0.018784100000630133,26.0,38.0,10,4096
22,22,0.018851600005291402,26.0,39.0,10,4096
23,23,0.018940100009785965,26.0,41.0,10,4096
24,24,0.019030100011150353,26.0,43.0,10,4096
25,25,0.019119500007946044,26.0,45.0,10,4096
26,26,0.019211600010748953,26.0,47.0,10,4096
27,27,0.019303400011267513,26.0,49.0,10,4096
28,28,0.019399900003918447,26.0,51.0,10,4096
29,29,0.01949360000435263,26.0,53.0,10,4096
30,30,0.01956830000563059,26.0,54.0,10,4096
31,31,0.01966470001207199,25.0,56.0,10,4096
32,32,0.019764299999224022,24.0,58.0,10,4096
33,33,0.0198619000002509,24.0,60.0,10,4096
34,34,0.019961400001193397,24.0,62.0,10,4096
35,35,0.020056599998497404,25.0,64.0,10,4096
36,36,0.020155000005615875,26.0,66.0,10,4096
37,37,0.020255399998859502,26.0,68.0,10,4096
38,38,0.020361100003356114,26.0,70.0,10,4096
39,39,0.020459500010474585,27.0,72.0,10,4096
40,40,0.020558600008371286,28.0,74.0,10,4096
41,41,0.02066180000838358,28.0,76.0,10,4096
42,42,0.020767000009072945,28.0,78.0,10,4096
43,43,0.02087259999825619,28.0,80.0,10,4096
44,44,0.020977300009690225,29.0,82.0,10,4096
45,45,0.021083700004965067,29.0,84.0,10,4096
46,46,0.02119140001013875,29.0,86.0,10,4096
47,47,0.02130250001209788,26.0,88.0,10,4096
48,48,0.021416000003227964,24.0,90.0,10,4096
49,49,0.02150620000611525,24.0,91.0,10,4096
50,50,0.02161599999817554,26.0,93.0,10,4096
51,51,0.02172860001155641,28.0,95.0,10,4096
52,52,0.021839699998963624,29.0,97.0,10,4096
53,53,0.021957700009807013,26.0,99.0,10,4096
54,54,0.02205320000939537,26.0,100.0,10,4096
55,55,0.02217450000171084,24.0,102.0,10,4096
56,56,0.022274900009506382,24.0,103.0,10,4096
57,57,0.022399200010113418,23.0,105.0,10,4096
58,58,0.022523300009197555,23.0,107.0,10,4096
59,59,0.022646600002190098,24.0,109.0,10,4096
60,60,0.022753500001272187,24.0,110.0,10,4096
61,61,0.022884100006194785,24.0,112.0,10,4096
62,62,0.02299219999986235,24.0,113.0,10,4096
63,63,0.02312019999953918,24.0,115.0,10,4096
64,64,0.023247100005391985,24.0,117.0,10,4096
65,65,0.02340869999898132,24.0,119.0,10,4096
66,66,0.023559200009913184,24.0,121.0,10,4096
67,67,0.023711900008493103,25.0,123.0,10,4096
68,68,0.023839300003601238,25.0,124.0,10,4096
69,69,0.023977400007424876,25.0,125.0,10,4096
70,70,0.02413180000439752,26.0,127.0,10,4096
71,71,0.024285300009069033,27.0,129.0,10,4096
72,72,0.024424600007478148,26.0,131.0,10,4096
73,73,0.024576499999966472,26.0,133.0,10,4096
74,74,0.024713999999221414,24.0,135.0,10,4096
75,75,0.024846200001775287,26.0,137.0,10,4096
76,76,0.02502130001084879,25.0,139.0,10,4096
77,77,0.025187899998854846,25.0,141.0,10,4096
78,78,0.025349200004711747,25.0,143.0,10,4096
79,79,0.025470900000073016,25.0,144.0,10,4096
80,80,0.025613999998313375,25.0,146.0,10,4096
81,81,0.025756400005775504,25.0,148.0,10,4096
82,82,0.025904399997671135,25.0,150.0,10,4096
83,83,0.026048800005810335,25.0,152.0,10,4096
84,84,0.026196500009973533,25.0,154.0,10,4096
85,85,0.02634270000271499,25.0,156.0,10,4096
86,86,0.026489500000025146,25.0,158.0,10,4096
87,87,0.02663639999809675,25.0,160.0,10,4096
88,88,0.02678320000995882,25.0,162.0,10,4096
89,89,0.0269282000081148,25.0,163.0,10,4096
90,90,0.02710760000627488,25.0,165.0,10,4096
91,91,0.027324100010446273,25.0,167.0,10,4096
92,92,0.027485600003274158,25.0,169.0,10,4096
93,93,0.027617400002782233,25.0,170.0,10,4096
94,94,0.02777050000440795,25.0,172.0,10,4096
95,95,0.027951199997914955,25.0,174.0,10,4096
96,96,0.028144600000814535,26.0,176.0,10,4096
97,97,0.02834610000718385,26.0,178.0,10,4096
98,98,0.02853480000339914,26.0,180.0,10,4096
99,99,0.0287263000063831,24.0,182.0,10,4096
100,100,0.02892680000513792,24.0,184.0,10,4096
101,101,0.029119900005753152,24.0,186.0,10,4096
102,102,0.029310600002645515,24.0,188.0,10,4096
103,103,0.029452400005538948,24.0,189.0,10,4096
104,104,0.0296165000036126,24.0,191.0,10,4096
105,105,0.029799500000081025,24.0,193.0,10,4096
106,106,0.029966200003400445,24.0,194.0,10,4096
107,107,0.030164399999193847,25.0,196.0,10,4096
