,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.0007637999951839447,18.0,0.0,5,4096
1,1,0.03414479999628384,20.0,2.0,5,4096
2,2,0.03486749999865424,18.0,4.0,5,4096
3,3,0.035555599999497645,18.0,6.0,5,4096
4,4,0.03630720000364818,18.0,8.0,5,4096
5,5,0.03703089999908116,20.0,10.0,5,4096
6,6,0.03774189999967348,22.0,12.0,5,4096
7,7,0.03845179999188986,22.0,14.0,5,4096
8,8,0.03912649999256246,22.0,16.0,5,4096
9,9,0.039842400001361966,22.0,18.0,5,4096
10,10,0.040544999996200204,22.0,20.0,5,4096
11,11,0.041253899995354004,22.0,22.0,5,4096
12,12,0.04197500000009313,22.0,24.0,5,4096
13,13,0.042685799999162555,22.0,26.0,5,4096
14,14,0.0434155999973882,21.0,28.0,5,4096
15,15,0.04412900000170339,19.0,30.0,5,4096
16,16,0.04487879999214783,19.0,32.0,5,4096
17,17,0.04530270000395831,19.0,33.0,5,4096
18,18,0.04603470000438392,21.0,35.0,5,4096
19,19,0.04675629999837838,21.0,37.0,5,4096
20,20,0.04750469999271445,21.0,39.0,5,4096
21,21,0.05529299999761861,23.0,41.0,5,4096
22,22,0.05606699999771081,23.0,43.0,5,4096
23,23,0.05679489999602083,24.0,45.0,5,4096
24,24,0.05751189999864437,22.0,47.0,5,4096
25,25,0.05827110000245739,20.0,49.0,5,4096
26,26,0.058996199993998744,22.0,51.0,5,4096
27,27,0.05970359999628272,24.0,53.0,5,4096
28,28,0.06045319999975618,22.0,55.0,5,4096
29,29,0.06121010000060778,22.0,57.0,5,4096
30,30,0.0619414999964647,23.0,59.0,5,4096
31,31,0.0626650000049267,25.0,61.0,5,4096
32,32,0.06340369999816176,27.0,63.0,5,4096
33,33,0.06389580000541173,27.0,64.0,5,4096
34,34,0.0646474999957718,25.0,66.0,5,4096
35,35,0.06536369999230374,27.0,68.0,5,4096
36,36,0.06612350000068545,29.0,70.0,5,4096
37,37,0.06689170000026934,31.0,72.0,5,4096
38,38,0.06737999999313615,31.0,73.0,5,4096
39,39,0.0681371999962721,33.0,75.0,5,4096
40,40,0.06862279999768361,33.0,76.0,5,4096
41,41,0.06939859999692999,33.0,78.0,5,4096
42,42,0.07018280000193045,31.0,80.0,5,4096
43,43,0.07098730000143405,29.0,82.0,5,4096
44,44,0.07148339999548625,29.0,83.0,5,4096
45,45,0.07198350000544451,29.0,84.0,5,4096
46,46,0.07275759999174625,28.0,86.0,5,4096
