,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.000539399974513799,10.0,0.0,6,4096
1,1,0.00935479998588562,8.0,2.0,6,4096
2,2,0.00980069997604005,5.0,4.0,6,4096
3,3,0.010242599993944168,5.0,6.0,6,4096
4,4,0.010687299974961206,5.0,8.0,6,4096
5,5,0.011127199977636337,5.0,10.0,6,4096
6,6,0.01157719999901019,5.0,12.0,6,4096
7,7,0.012018399982480332,8.0,14.0,6,4096
8,8,0.012457799981348217,5.0,16.0,6,4096
9,9,0.012902199989184737,7.0,18.0,6,4096
10,10,0.013398699986282736,5.0,20.0,6,4096
11,11,0.013927199994213879,5.0,22.0,6,4096
12,12,0.014428299997234717,7.0,24.0,6,4096
13,13,0.014874799991957843,6.0,26.0,6,4096
14,14,0.015323100000387058,4.0,28.0,6,4096
15,15,0.015770899975905195,5.0,30.0,6,4096
16,16,0.01622919997316785,5.0,32.0,6,4096
17,17,0.01648749999003485,5.0,33.0,6,4096
18,18,0.01694799997494556,5.0,35.0,6,4096
19,19,0.01740859998972155,5.0,37.0,6,4096
20,20,0.017866199981654063,7.0,39.0,6,4096
21,21,0.018325199984246865,7.0,41.0,6,4096
22,22,0.018783099978463724,7.0,43.0,6,4096
23,23,0.01924149997648783,7.0,45.0,6,4096
24,24,0.019704399979673326,7.0,47.0,6,4096
25,25,0.020162199973128736,7.0,49.0,6,4096
26,26,0.020623099990189075,4.0,51.0,6,4096
27,27,0.020886599988443777,4.0,52.0,6,4096
28,28,0.0213705999776721,2.0,54.0,6,4096
29,29,0.021849999990081415,4.0,56.0,6,4096
30,30,0.022333000000799075,6.0,58.0,6,4096
31,31,0.022805699991295114,3.0,60.0,6,4096
32,32,0.0230771999922581,3.0,61.0,6,4096
33,33,0.023567299998831004,3.0,63.0,6,4096
34,34,0.024496499972883612,4.0,65.0,6,4096
35,35,0.025365499983308837,6.0,67.0,6,4096
36,36,0.025906499999109656,7.0,69.0,6,4096
37,37,0.0264376999984961,6.0,71.0,6,4096
38,38,0.026912899978924543,6.0,73.0,6,4096
39,39,0.027401200000895187,6.0,75.0,6,4096
40,40,0.02788389998022467,7.0,77.0,6,4096
41,41,0.028454699990106747,6.0,79.0,6,4096
42,42,0.028988299978664145,5.0,81.0,6,4096
43,43,0.029505199985578656,7.0,83.0,6,4096
44,44,0.030000499973539263,5.0,85.0,6,4096
45,45,0.03050470000016503,5.0,87.0,6,4096
46,46,0.030997299996670336,4.0,89.0,6,4096
47,47,0.03149599998141639,3.0,91.0,6,4096
48,48,0.031997499987483025,3.0,93.0,6,4096
49,49,0.032499799999641255,4.0,95.0,6,4096
50,50,0.03299789997981861,4.0,97.0,6,4096
51,51,0.03350339998723939,5.0,99.0,6,4096
52,52,0.034006399975623935,5.0,101.0,6,4096
53,53,0.03451059997314587,5.0,103.0,6,4096
54,54,0.03500869998242706,4.0,105.0,6,4096
55,55,0.035513399983756244,5.0,107.0,6,4096
56,56,0.036018699989654124,5.0,109.0,6,4096
57,57,0.03656049998244271,6.0,111.0,6,4096
58,58,0.03709919998073019,5.0,113.0,6,4096
59,59,0.03765809998731129,6.0,115.0,6,4096
60,60,0.03796899999724701,6.0,116.0,6,4096
61,61,0.038497199973789975,5.0,118.0,6,4096
62,62,0.03880959999514744,5.0,119.0,6,4096
63,63,0.03934209997532889,7.0,121.0,6,4096
64,64,0.03986869999789633,7.0,123.0,6,4096
65,65,0.0403931999753695,5.0,125.0,6,4096
66,66,0.0409147999889683,4.0,127.0,6,4096
67,67,0.04144589998759329,6.0,129.0,6,4096
68,68,0.041974499996285886,6.0,131.0,6,4096
69,69,0.042290299985324964,6.0,132.0,6,4096
70,70,0.04281649997574277,5.0,134.0,6,4096
71,71,0.043399999995017424,6.0,136.0,6,4096
72,72,0.04395959997782484,5.0,138.0,6,4096
73,73,0.04451189999235794,5.0,140.0,6,4096
74,74,0.04505419998895377,6.0,142.0,6,4096
75,75,0.045606200001202524,6.0,144.0,6,4096
76,76,0.0461545999860391,7.0,146.0,6,4096
77,77,0.0467134999926202,5.0,148.0,6,4096
78,78,0.04728339999564923,5.0,150.0,6,4096
79,79,0.04763209997327067,5.0,151.0,6,4096
80,80,0.04798429997754283,5.0,152.0,6,4096
81,81,0.04856659998768009,7.0,154.0,6,4096
82,82,0.0491209999890998,8.0,156.0,6,4096
83,83,0.049679099989589304,8.0,158.0,6,4096
84,84,0.05023339999024756,7.0,160.0,6,4096
85,85,0.050781400001142174,5.0,162.0,6,4096
86,86,0.051348699984373525,5.0,164.0,6,4096
