,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
0,0,29.0,0,0.005953700001555262,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",geometric,1,0.99,0.001,0.999940165105592,1,4096,
1,1,29.0,2,0.048163499999645865,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 26, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",geometric,1,0.99,0.001,0.9995160577869497,1,4096,
2,2,29.0,3,0.09707290000005742,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 26, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",geometric,1,0.99,0.001,0.99902486051055,1,4096,
3,4,30.0,7,0.16806700000233832,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 26, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 31, 28, 31, 27, 20, 0]",geometric,1,0.99,0.001,0.9983122959809327,1,4096,
4,8,26.0,12,0.2235082000006514,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 26, 10, 10, 23, 20, 3, 7, 11, 2, 21, 20, 1, 23, 11, 29, 31, 28, 31, 27, 20, 0]",geometric,1,0.99,0.001,0.9977561886406695,1,4096,
5,16,22.0,24,0.29549240000051213,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 26, 10, 10, 28, 20, 3, 26, 11, 2, 8, 20, 1, 23, 11, 29, 31, 13, 31, 27, 20, 0]",geometric,1,0.99,0.001,0.9970346076252938,1,4096,
6,32,23.0,47,0.45380049999948824,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 3, 18, 7, 10, 31, 28, 12, 3, 26, 11, 2, 8, 20, 1, 23, 30, 24, 31, 12, 31, 27, 20, 0]",geometric,1,0.99,0.001,0.9954495374352474,1,4096,
7,64,16.0,96,0.6763357000018004,"[4, 19, 28, 12, 9, 8, 16, 20, 6, 3, 26, 7, 14, 31, 25, 12, 3, 26, 11, 2, 8, 20, 1, 23, 30, 22, 30, 11, 31, 5, 20, 0]",geometric,1,0.99,0.001,0.9932256491385689,1,4096,
8,128,11.0,180,1.1564500000022235,"[4, 28, 17, 23, 9, 15, 16, 20, 6, 3, 26, 7, 14, 31, 25, 18, 24, 26, 11, 31, 8, 20, 1, 19, 30, 22, 18, 8, 17, 5, 2, 0]",geometric,1,0.99,0.001,0.9884445718847814,1,4096,
9,256,9.0,325,1.8944343000002846,"[4, 28, 18, 23, 9, 12, 16, 21, 6, 3, 11, 13, 3, 14, 25, 18, 24, 26, 11, 31, 8, 20, 1, 19, 30, 22, 10, 3, 17, 24, 2, 4]",geometric,1,0.99,0.001,0.9811404092461772,1,4096,
